Sample,X,Y,Z
0,0.012,0.051,1.094
1,0.004,0.059,1.066
2,0.004,0.062,1.102
3,-0.078,0.109,1.047
4,0.008,0.074,0.984
5,0.074,-0.008,1.055
6,-0.020,-0.031,1.102
7,-0.070,-0.020,1.070
8,0.031,-0.039,0.969
9,0.090,-0.059,1.020
10,0.016,-0.047,1.039
11,-0.023,-0.039,1.020
12,0.043,-0.086,0.965
13,0.043,-0.141,1.031
14,-0.004,-0.102,1.043
15,0.023,-0.074,1.016
16,0.062,-0.059,0.887
17,0.000,-0.125,1.027
18,-0.012,-0.098,1.098
19,0.008,-0.043,1.031
20,0.031,-0.016,0.965
21,0.020,-0.020,1.043
22,0.008,-0.004,1.078
23,0.000,0.016,1.039
24,0.047,0.047,1.020
25,0.023,-0.008,1.113
26,-0.055,-0.016,0.996
27,0.020,0.031,1.023
28,0.055,0.027,1.031
29,0.023,-0.043,1.016
30,0.008,-0.023,1.035
31,0.023,-0.020,1.016
32,0.023,-0.020,1.008
33,0.039,-0.043,1.051
34,0.023,-0.051,1.055
35,0.012,-0.047,0.973
36,0.020,-0.066,1.043
37,0.023,-0.059,1.051
38,0.023,-0.051,1.031
39,0.016,-0.047,0.977
40,-0.008,-0.059,1.035
41,0.016,-0.059,1.062
42,0.023,-0.027,1.020
43,-0.008,0.000,0.992
44,-0.004,-0.027,1.035
45,0.039,-0.051,1.094
46,0.043,-0.016,1.039
47,-0.012,0.000,0.984
48,0.008,-0.027,1.051
49,0.043,-0.043,1.109
50,-0.031,-0.023,1.016
51,0.043,-0.016,1.027
52,0.031,-0.023,1.133
53,0.020,-0.062,1.062
54,-0.012,-0.020,1.004
55,0.016,-0.008,0.957
56,0.027,-0.047,1.031
57,0.043,-0.059,1.094
58,0.004,-0.031,1.047
59,-0.008,-0.027,0.988
60,0.000,-0.043,1.031
61,0.004,-0.051,1.062
62,0.004,-0.035,1.023
63,0.012,-0.023,1.004
64,0.035,-0.047,1.051
65,0.043,-0.059,1.043
66,0.004,-0.035,1.055
67,-0.004,-0.020,0.996
68,0.031,-0.039,1.039
69,0.039,-0.016,1.059
70,0.004,-0.012,1.004
71,-0.004,-0.043,1.059
72,0.078,-0.039,1.105
73,0.008,-0.031,0.953
74,-0.023,-0.031,0.977
75,0.051,-0.035,1.094
76,0.039,-0.035,1.129
77,0.031,-0.039,0.984
78,-0.004,-0.012,0.984
79,0.000,-0.039,1.031
80,0.027,-0.047,1.082
81,0.035,-0.027,1.027
82,-0.004,-0.020,1.008
83,0.000,-0.035,1.047
84,0.027,-0.043,1.074
85,0.020,-0.012,1.000
86,-0.008,-0.020,1.000
87,0.016,-0.039,1.043
88,0.043,-0.043,1.098
89,0.008,-0.023,1.008
90,-0.004,-0.043,1.004
91,0.020,-0.043,1.059
92,0.043,-0.035,1.039
93,0.008,-0.031,1.012
94,-0.008,-0.027,1.023
95,0.020,-0.027,1.047
96,0.047,-0.031,1.086
97,-0.012,-0.020,1.039
98,-0.051,-0.047,1.039
99,0.020,-0.031,1.004
100,0.059,-0.027,1.117
101,0.004,-0.012,0.957
102,-0.004,-0.035,1.020
103,0.031,-0.031,1.035
104,0.016,-0.027,1.027
105,0.008,-0.023,1.051
106,0.008,-0.027,1.047
107,0.020,-0.047,1.027
108,0.008,-0.047,1.031
109,0.000,-0.035,1.039
110,0.023,-0.043,1.031
111,0.039,-0.043,1.055
112,0.012,-0.031,1.016
113,0.000,-0.035,1.023
114,0.000,-0.035,1.023
115,0.012,-0.039,1.051
116,0.039,-0.031,1.035
117,0.027,-0.031,1.039
118,0.008,-0.027,1.023
119,0.016,-0.043,1.047
120,0.023,-0.035,1.039
121,0.020,-0.020,1.051
122,0.004,-0.031,1.000
123,-0.031,-0.059,1.027
124,0.059,-0.051,1.051
125,0.000,-0.020,1.078
126,-0.004,-0.023,0.953
127,0.035,-0.031,1.059
128,0.023,-0.039,1.027
129,0.004,-0.039,1.027
130,0.012,-0.027,1.051
131,0.035,-0.020,1.031
132,0.004,-0.023,1.016
133,-0.020,-0.027,1.023
134,0.035,-0.051,1.074
135,0.051,-0.043,1.035
136,0.004,-0.016,1.004
137,-0.008,-0.035,1.027
138,0.035,-0.047,1.062
139,0.023,-0.027,1.043
140,-0.008,-0.012,0.992
141,0.012,-0.043,1.043
142,0.020,-0.051,1.074
143,-0.004,-0.020,1.031
144,-0.008,-0.020,1.031
145,-0.020,-0.051,1.008
146,0.004,-0.070,1.020
147,0.027,-0.031,1.031
148,0.004,-0.020,1.090
149,0.039,-0.055,1.004
150,0.027,-0.039,1.086
151,0.008,-0.016,1.004
152,0.004,-0.020,1.016
153,0.020,-0.051,1.047
154,0.012,-0.043,1.070
155,-0.008,-0.020,1.012
156,0.004,-0.023,1.020
157,0.031,-0.047,1.051
158,0.023,-0.035,1.039
159,-0.004,-0.012,1.023
160,0.020,-0.023,1.023
161,0.043,-0.047,1.055
162,0.008,-0.035,1.031
163,-0.004,-0.020,1.039
164,0.023,-0.027,1.012
165,0.035,-0.043,1.043
166,-0.004,-0.031,1.035
167,0.004,-0.027,1.027
168,0.043,-0.043,1.066
169,0.027,-0.051,1.062
170,-0.027,-0.031,1.039
171,-0.016,-0.035,0.992
172,0.066,-0.027,1.121
173,0.047,-0.035,1.078
174,0.012,-0.027,0.984
175,0.027,-0.051,1.055
176,0.012,-0.023,1.039
177,0.008,-0.020,1.031
178,0.008,-0.031,1.012
179,0.012,-0.035,1.023
180,0.016,-0.043,1.066
181,0.023,-0.035,1.043
182,0.016,-0.031,1.016
183,0.016,-0.047,1.023
184,0.012,-0.039,1.055
185,0.023,-0.012,1.016
186,0.023,-0.012,1.016
187,0.023,-0.023,1.020
188,0.004,-0.027,1.039
189,0.008,-0.031,1.055
190,0.031,-0.035,1.031
191,0.012,-0.039,1.035
192,0.008,-0.023,1.031
193,0.031,-0.031,1.094
194,-0.016,-0.062,0.926
195,-0.027,-0.035,0.996
196,0.059,-0.027,1.039
197,0.039,-0.023,1.094
198,0.027,-0.035,0.980
199,-0.004,-0.035,1.051
200,0.023,-0.020,1.031
201,0.027,-0.027,1.016
202,0.004,-0.047,1.047
203,0.004,-0.039,1.055
204,0.016,-0.023,1.023
205,0.016,-0.031,1.000
206,0.004,-0.051,1.062
207,0.023,-0.035,1.047
208,0.031,-0.031,1.020
209,0.016,-0.023,1.012
210,0.023,-0.031,1.055
211,0.023,-0.027,1.047
212,0.020,-0.023,1.016
213,0.008,-0.016,1.027
214,0.008,-0.016,1.027
215,0.012,-0.031,1.051
216,0.008,-0.043,1.027
217,0.016,-0.031,1.051
218,0.027,-0.035,1.070
219,-0.016,-0.043,0.984
220,0.023,-0.043,1.031
221,0.055,-0.027,1.102
222,0.000,-0.047,1.121
223,0.023,-0.020,1.012
224,0.012,-0.039,1.035
225,0.008,-0.035,1.039
226,0.000,-0.023,1.039
227,0.020,-0.031,1.027
228,0.016,-0.035,1.039
229,0.004,-0.035,1.043
230,0.016,-0.035,1.039
231,0.023,-0.027,1.031
232,0.016,-0.035,1.016
233,0.008,-0.047,1.051
234,0.020,-0.020,1.035
235,0.031,-0.035,1.039
236,0.008,-0.023,1.047
237,0.008,-0.020,1.039
238,0.020,-0.035,1.039
239,0.004,-0.039,1.027
240,-0.004,-0.027,1.043
241,0.020,-0.031,1.043
242,-0.035,-0.027,0.973
243,0.031,-0.039,1.031
244,0.020,-0.039,1.180
245,0.055,-0.023,0.992
246,0.035,-0.020,1.016
247,0.000,-0.039,1.035
248,0.012,-0.043,1.059
249,0.023,-0.035,1.027
250,0.008,-0.027,1.004
251,0.004,-0.035,1.023
252,0.012,-0.039,1.055
253,0.023,-0.027,1.031
254,0.012,-0.031,1.035
255,0.016,-0.035,1.035
256,0.027,-0.035,1.047
257,0.027,-0.023,1.023
258,0.027,-0.023,1.023
259,0.012,-0.027,1.023
260,0.000,-0.031,1.051
261,0.023,-0.027,1.035
262,0.012,-0.031,1.031
263,-0.004,-0.035,1.031
264,0.008,-0.035,1.043
265,0.043,-0.023,1.117
266,-0.035,-0.043,0.938
267,-0.035,-0.051,1.020
268,0.047,-0.039,1.121
269,0.027,-0.031,1.074
270,0.016,-0.047,0.945
271,0.000,-0.043,1.055
272,0.031,-0.035,1.051
273,0.023,-0.020,1.035
274,-0.008,-0.016,1.023
275,0.012,-0.047,1.043
276,0.016,-0.039,1.043
277,0.012,-0.035,1.035
278,0.000,-0.035,1.023
279,0.012,-0.047,1.051
280,0.031,-0.039,1.051
281,0.008,-0.027,1.027
282,0.012,-0.035,1.035
283,0.020,-0.035,1.035
284,0.016,-0.027,1.051
285,0.020,-0.023,1.039
286,0.020,-0.023,1.039
287,0.008,-0.023,1.023
288,0.012,-0.031,1.039
289,0.031,-0.043,1.074
290,0.043,-0.027,1.004
291,-0.051,-0.043,0.992
292,0.012,-0.051,1.055
293,0.039,-0.035,1.141
294,0.016,-0.035,1.027
295,0.000,-0.027,1.000
296,0.035,-0.035,1.059
297,0.035,-0.020,1.047
298,0.004,-0.020,1.020
299,0.000,-0.031,1.000
300,0.023,-0.051,1.078
301,0.020,-0.020,1.039
302,-0.012,-0.016,1.027
303,0.004,-0.039,1.004
304,0.043,-0.055,1.066
305,0.027,-0.035,1.059
306,0.027,-0.035,1.059
307,0.000,-0.016,1.000
308,0.012,-0.027,1.016
309,0.035,-0.055,1.074
310,0.008,-0.031,1.047
311,-0.004,-0.020,0.996
312,0.012,-0.043,1.035
313,0.027,-0.043,1.051
314,-0.008,-0.043,1.082
315,-0.055,-0.039,0.988
316,0.070,-0.035,1.023
317,0.070,-0.035,1.105
318,0.008,-0.031,0.938
319,0.016,-0.027,1.012
320,0.020,-0.039,1.051
321,0.039,-0.039,1.059
322,0.008,-0.012,1.008
323,0.000,-0.031,1.031
324,0.031,-0.035,1.055
325,0.027,-0.043,1.027
326,-0.012,-0.031,1.035
327,0.012,-0.035,1.035
328,0.035,-0.039,1.047
329,0.023,-0.031,1.031
330,0.008,-0.027,1.023
331,0.016,-0.035,1.035
332,0.023,-0.047,1.066
333,0.012,-0.016,1.016
334,0.000,-0.027,1.043
335,0.027,-0.035,1.035
336,0.047,-0.023,1.066
337,0.000,-0.039,1.008
338,-0.035,-0.027,1.000
339,0.055,-0.043,1.074
340,0.039,-0.047,1.098
341,0.020,-0.039,0.996
342,0.023,-0.023,1.023
343,0.031,-0.035,1.027
344,0.000,-0.039,1.031
345,0.004,-0.039,1.059
346,0.020,-0.027,1.012
347,0.027,-0.043,1.027
348,0.012,-0.023,1.031
349,-0.004,-0.031,1.035
350,0.023,-0.035,1.039
351,0.027,-0.035,1.012
352,0.008,-0.039,1.047
353,0.023,-0.027,1.039
354,0.023,-0.027,1.039
355,0.031,-0.043,1.031
356,0.004,-0.027,1.039
357,0.000,-0.023,1.012
358,0.020,-0.047,1.043
359,0.035,-0.035,1.039
360,0.000,-0.020,1.023
361,0.023,-0.031,1.062
362,0.016,-0.066,1.035
363,-0.047,-0.047,1.016
364,0.055,-0.023,1.004
365,0.047,-0.027,1.035
366,0.027,-0.059,0.977
367,0.004,-0.039,1.031
368,0.004,-0.023,1.043
369,0.035,-0.023,1.012
370,0.020,-0.051,1.047
371,0.016,-0.023,1.023
372,0.020,-0.039,1.043
373,0.027,-0.027,1.027
374,0.008,-0.031,1.031
375,-0.004,-0.043,1.047
376,0.016,-0.031,1.043
377,0.035,-0.031,1.035
378,0.035,-0.031,1.035
379,0.023,-0.027,1.008
380,-0.008,-0.051,1.039
381,0.016,-0.039,1.059
382,0.027,-0.023,1.027
383,0.004,-0.016,1.020
384,0.008,-0.031,1.023
385,0.062,-0.051,1.090
386,-0.039,-0.039,0.988
387,-0.020,-0.020,0.984
388,0.035,-0.035,1.082
389,0.043,-0.035,1.027
390,0.008,-0.051,0.992
391,0.000,-0.027,1.012
392,0.027,-0.027,1.035
393,0.031,-0.031,1.059
394,0.008,-0.035,1.012
395,0.004,-0.047,1.039
396,0.039,-0.027,1.043
397,0.020,-0.031,1.008
398,-0.008,-0.027,1.031
399,0.000,-0.023,1.047
400,0.035,-0.031,1.051
401,0.020,-0.031,1.020
402,-0.004,-0.031,1.016
403,0.012,-0.051,1.059
404,0.043,-0.035,1.047
405,0.012,-0.020,1.008
406,-0.004,-0.027,1.012
407,0.023,-0.055,1.066
408,0.047,-0.039,1.055
409,0.008,-0.023,1.012
410,-0.051,-0.039,1.055
411,0.078,-0.055,1.066
412,0.059,-0.020,1.094
413,0.004,-0.023,0.945
414,0.000,-0.027,1.027
415,0.047,-0.055,1.062
416,0.012,-0.027,1.047
417,-0.008,-0.012,1.004
418,0.020,-0.031,1.027
419,0.035,-0.055,1.074
420,0.008,-0.016,1.027
421,-0.016,-0.023,1.027
422,0.012,-0.043,1.043
423,0.035,-0.055,1.055
424,0.016,-0.027,1.035
425,0.008,-0.020,0.988
426,0.023,-0.043,1.023
427,0.027,-0.051,1.074
428,0.016,-0.023,1.031
429,0.004,-0.023,0.996
430,0.016,-0.047,1.035
431,0.020,-0.043,1.047
432,0.043,-0.031,1.098
433,-0.027,-0.020,0.965
434,-0.016,-0.031,0.984
435,0.055,-0.043,1.180
436,0.051,-0.023,0.984
437,0.004,-0.039,0.996
438,-0.004,-0.039,1.031
439,0.031,-0.039,1.066
440,0.012,-0.027,1.035
441,0.000,-0.027,1.012
442,0.016,-0.047,1.047
443,0.035,-0.047,1.047
444,0.008,-0.031,1.020
445,-0.004,-0.020,1.016
446,0.027,-0.043,1.039
447,0.035,-0.051,1.070
448,0.000,-0.016,1.000
449,-0.004,-0.023,1.012
450,-0.004,-0.023,1.012
451,0.043,-0.051,1.059
452,0.027,-0.035,1.055
453,-0.004,-0.012,1.000
454,0.000,-0.039,1.016
455,0.031,-0.043,1.055
456,0.020,-0.027,1.031
457,0.008,-0.012,1.023
458,0.004,-0.055,1.047
459,-0.031,-0.055,1.020
460,0.055,-0.031,1.043
461,0.020,-0.016,1.031
462,-0.008,-0.043,0.984
463,0.020,-0.051,1.055
464,0.020,-0.031,1.027
465,0.000,-0.020,1.023
466,0.023,-0.043,1.047
467,0.023,-0.031,1.035
468,0.008,-0.039,1.035
469,0.000,-0.027,1.023
470,0.023,-0.043,1.047
471,0.023,-0.043,1.039
472,0.004,-0.039,1.039
473,0.004,-0.031,1.031
474,0.023,-0.027,1.027
475,0.020,-0.043,1.043
476,0.016,-0.023,1.039
477,0.012,-0.031,1.020
478,0.012,-0.031,1.020
479,0.023,-0.047,1.031
480,0.020,-0.043,1.055
481,0.016,-0.031,1.043
482,0.023,-0.043,1.090
483,-0.043,-0.039,0.988
484,-0.004,-0.043,1.035
485,0.055,-0.035,1.078
486,0.039,-0.023,1.051
487,0.012,-0.020,0.984
488,0.008,-0.039,1.031
489,0.020,-0.043,1.062
490,0.023,-0.016,1.035
491,0.000,-0.020,1.000
492,0.008,-0.047,1.055
493,0.027,-0.043,1.059
494,0.020,-0.031,1.031
495,0.000,-0.027,1.000
496,0.016,-0.047,1.059
497,0.035,-0.047,1.062
498,0.016,-0.020,1.023
499,0.008,-0.016,1.004
500,0.031,-0.039,1.051
501,0.023,-0.051,1.066
502,-0.008,-0.016,1.020
503,0.004,-0.016,0.988
504,0.039,-0.055,1.094
505,0.004,-0.051,1.004
506,-0.023,-0.012,0.969
507,0.047,-0.020,1.008
508,0.047,-0.051,1.082
509,0.023,-0.047,0.992
510,-0.004,-0.031,0.992
511,0.027,-0.031,1.020
512,0.016,-0.023,1.031
513,0.004,-0.039,1.070
514,0.008,-0.016,1.000
515,0.020,-0.031,1.027
516,0.020,-0.043,1.047
517,0.008,-0.031,1.062
518,0.004,-0.016,1.012
519,0.020,-0.051,1.043
520,0.016,-0.035,1.039
521,0.016,-0.023,1.020
522,0.020,-0.031,1.016
523,0.016,-0.039,1.039
524,0.008,-0.039,1.055
525,0.012,-0.027,1.062
526,0.020,-0.008,0.992
527,0.008,-0.035,1.012
528,0.031,-0.035,1.078
529,-0.008,-0.047,1.031
530,0.008,-0.031,0.988
531,0.000,-0.031,1.117
532,0.031,-0.043,0.984
533,0.023,-0.059,1.023
534,-0.004,-0.027,1.008
535,-0.008,-0.016,1.004
536,0.020,-0.055,1.086
537,0.043,-0.031,1.039
538,0.000,-0.004,1.000
539,-0.004,-0.027,1.008
540,0.043,-0.055,1.070
541,0.035,-0.031,1.043
542,-0.016,-0.020,0.984
543,-0.008,-0.027,1.035
544,0.039,-0.059,1.082
545,0.035,-0.039,1.047
546,-0.008,-0.016,1.004
547,0.008,-0.035,1.023
548,0.047,-0.051,1.074
549,0.016,-0.035,1.047
550,-0.016,-0.008,0.988
551,0.020,-0.043,1.039
552,0.074,-0.055,1.113
553,-0.051,-0.031,1.004
554,-0.055,-0.031,1.035
555,0.094,-0.027,1.086
556,0.082,-0.039,1.125
557,0.008,-0.031,1.000
558,-0.027,-0.020,0.953
559,0.039,-0.039,1.051
560,0.027,-0.047,1.070
561,-0.008,-0.016,1.008
562,0.004,-0.027,1.016
563,0.035,-0.047,1.055
564,0.020,-0.027,1.027
565,0.000,-0.035,1.039
566,0.008,-0.031,1.035
567,0.027,-0.043,1.051
568,0.020,-0.043,1.039
569,0.004,-0.023,1.020
570,0.016,-0.023,1.039
571,0.035,-0.035,1.043
572,0.012,-0.023,1.047
573,-0.008,-0.020,1.008
574,0.008,-0.047,1.055
575,0.027,-0.039,1.051
576,0.016,-0.023,1.082
577,0.012,-0.023,1.070
578,0.008,-0.051,0.977
579,-0.004,-0.047,1.047
580,0.035,-0.031,1.062
581,0.016,-0.012,1.094
582,0.016,-0.039,0.984
583,0.023,-0.043,1.059
584,0.016,-0.023,1.023
585,0.012,-0.027,1.004
586,0.012,-0.051,1.059
587,0.016,-0.031,1.047
588,0.008,-0.020,1.035
589,0.012,-0.027,1.000
590,0.020,-0.047,1.062
591,0.020,-0.035,1.070
592,0.012,-0.023,1.004
593,0.016,-0.043,1.023
594,0.016,-0.051,1.055
595,0.027,-0.043,1.090
596,0.016,-0.004,0.977
597,-0.004,-0.035,1.031
598,0.016,-0.039,1.035
599,0.035,-0.039,1.055
600,0.020,-0.016,1.066
601,-0.035,-0.035,0.953
602,0.000,-0.066,1.066
603,0.070,-0.039,1.141
604,0.020,-0.016,0.996
605,-0.008,-0.051,0.957
606,0.027,-0.051,1.086
607,0.012,-0.027,1.027
608,-0.004,-0.035,1.020
609,0.016,-0.027,1.023
610,0.031,-0.039,1.043
611,0.008,-0.047,1.039
612,-0.004,-0.023,1.008
613,0.020,-0.047,1.035
614,0.035,-0.051,1.047
615,0.008,-0.035,1.039
616,0.004,-0.023,1.004
617,0.023,-0.047,1.039
618,0.031,-0.043,1.066
619,0.004,-0.012,1.027
620,0.008,-0.020,1.004
621,0.027,-0.043,1.047
622,0.012,-0.035,1.059
623,0.012,-0.027,1.023
624,0.023,-0.027,1.020
625,-0.008,-0.074,1.016
626,0.016,-0.043,1.008
627,0.043,-0.004,1.039
628,0.027,-0.027,1.012
629,0.043,-0.051,1.004
630,0.035,-0.031,1.070
631,0.004,-0.020,1.008
632,0.004,-0.023,1.016
633,0.023,-0.047,1.074
634,0.027,-0.027,1.070
635,0.004,-0.004,0.980
636,0.008,-0.031,1.027
637,0.023,-0.047,1.062
638,0.027,-0.043,1.062
639,0.008,-0.020,1.016
640,0.012,-0.023,1.023
641,0.027,-0.051,1.062
642,0.020,-0.027,1.051
643,0.000,-0.016,1.004
644,0.012,-0.027,1.012
645,0.035,-0.051,1.066
646,0.016,-0.023,1.043
647,0.000,-0.012,1.008
648,0.016,-0.035,1.035
649,0.035,-0.059,1.098
650,0.000,-0.035,1.023
651,0.000,-0.027,0.969
652,0.023,-0.023,1.141
653,0.062,-0.051,1.023
654,0.004,-0.031,1.031
655,-0.004,-0.016,0.992
656,0.016,-0.047,1.039
657,0.035,-0.027,1.055
658,0.012,-0.020,1.012
659,-0.004,-0.035,1.016
660,0.027,-0.043,1.051
661,0.035,-0.035,1.066
662,0.000,-0.020,1.020
663,0.004,-0.027,1.000
664,0.027,-0.043,1.070
665,0.039,-0.031,1.051
666,-0.004,-0.012,1.004
667,-0.004,-0.023,1.008
668,0.027,-0.059,1.066
669,0.031,-0.047,1.059
670,-0.008,-0.020,1.020
671,0.000,-0.031,1.016
672,0.047,-0.043,1.039
673,0.020,-0.047,1.113
674,-0.051,-0.031,1.008
675,0.066,-0.023,1.051
676,0.062,-0.047,1.145
677,0.000,-0.031,0.992
678,-0.012,-0.035,0.996
679,0.023,-0.035,1.035
680,0.027,-0.039,1.062
681,0.004,-0.027,1.020
682,0.012,-0.043,1.031
683,0.016,-0.035,1.055
684,0.016,-0.031,1.035
685,0.008,-0.039,1.027
686,0.016,-0.035,1.043
687,0.020,-0.031,1.051
688,0.031,-0.027,1.023
689,0.012,-0.035,1.023
690,0.012,-0.035,1.023
691,0.004,-0.031,1.039
692,0.023,-0.035,1.039
693,0.020,-0.023,1.027
694,0.008,-0.023,1.012
695,0.012,-0.031,1.059
696,0.012,-0.043,1.051
697,0.012,-0.031,1.074
698,-0.020,-0.047,0.953
699,-0.035,-0.043,0.965
700,0.051,-0.035,1.078
701,0.008,-0.020,1.090
702,0.016,-0.035,0.980
703,0.016,-0.039,1.070
704,0.016,-0.027,1.031
705,0.016,-0.027,1.035
706,0.020,-0.027,1.023
707,0.020,-0.039,1.043
708,0.008,-0.035,1.031
709,0.020,-0.023,1.043
710,0.020,-0.035,1.031
711,0.008,-0.039,1.027
712,0.016,-0.035,1.039
713,0.023,-0.031,1.059
714,0.023,-0.031,1.059
715,0.016,-0.027,1.012
716,0.004,-0.047,1.035
717,0.004,-0.027,1.039
718,0.035,-0.031,1.043
719,0.020,-0.027,1.004
720,0.000,-0.039,1.027
721,0.035,-0.039,1.098
722,0.004,-0.051,1.000
723,0.000,-0.027,0.980
724,0.039,-0.031,1.066
725,0.055,-0.035,1.086
726,0.023,-0.035,1.000
727,-0.008,-0.027,1.000
728,-0.004,-0.035,1.062
729,0.047,-0.047,1.070
730,0.012,-0.020,1.023
