Sample,X,Y,Z
0,0.004,0.211,1.039
1,0.020,-0.047,1.059
2,0.031,-0.031,1.035
3,0.004,-0.027,1.031
4,-0.004,-0.031,1.016
5,0.023,-0.047,1.051
6,0.031,-0.027,1.051
7,0.020,-0.031,1.043
8,0.000,-0.039,1.012
9,0.012,-0.055,1.055
10,0.043,-0.031,1.027
11,0.027,-0.023,1.035
12,-0.004,-0.035,1.016
13,0.008,-0.047,1.039
14,0.035,-0.039,1.047
15,0.031,-0.016,1.043
16,0.000,-0.031,1.023
17,-0.004,-0.059,1.031
18,0.020,-0.039,1.035
19,0.039,-0.023,1.047
20,0.008,-0.023,1.016
21,0.000,-0.047,1.031
22,0.023,-0.039,1.043
23,0.023,-0.023,1.043
24,0.031,-0.016,1.078
25,-0.027,-0.055,0.945
26,0.000,-0.047,1.055
27,0.070,-0.012,1.074
28,0.016,-0.039,1.051
29,-0.020,-0.066,0.988
30,0.020,-0.039,1.012
31,0.043,-0.031,1.051
32,0.000,-0.020,1.023
33,-0.012,-0.035,1.031
34,0.035,-0.051,1.051
35,0.043,-0.035,1.047
36,0.000,-0.012,1.027
37,-0.012,-0.039,1.008
38,0.035,-0.055,1.051
39,0.039,-0.035,1.043
40,-0.012,-0.027,1.020
41,-0.004,-0.023,0.996
42,0.027,-0.059,1.059
43,0.039,-0.043,1.055
44,0.004,-0.016,1.031
45,-0.008,-0.020,1.004
46,0.039,-0.055,1.055
47,0.027,-0.047,1.047
48,0.016,-0.023,1.070
49,0.000,-0.039,0.992
50,-0.012,-0.051,0.996
51,0.012,-0.055,1.031
52,0.043,-0.027,1.152
53,0.031,-0.016,1.016
54,0.020,-0.043,1.012
55,0.012,-0.039,1.059
56,0.008,-0.031,1.047
57,0.016,-0.016,1.004
58,0.023,-0.039,1.031
59,0.016,-0.043,1.039
60,-0.004,-0.035,1.055
61,0.020,-0.031,1.012
62,0.020,-0.031,1.035
63,0.016,-0.039,1.043
64,0.012,-0.047,1.059
65,0.012,-0.023,1.035
66,0.012,-0.023,1.035
67,0.016,-0.035,1.012
68,0.016,-0.039,1.047
69,0.023,-0.027,1.047
70,0.004,-0.043,1.035
71,0.016,-0.035,1.016
72,0.016,-0.031,1.035
73,0.035,-0.023,1.113
74,0.008,-0.055,1.043
75,-0.020,-0.039,0.996
76,0.039,-0.039,1.082
77,0.023,-0.035,1.133
78,0.020,-0.047,1.012
79,0.008,-0.039,1.047
80,0.012,-0.035,1.020
81,0.016,-0.035,1.023
82,0.016,-0.043,1.074
83,0.020,-0.035,1.000
84,0.023,-0.043,1.039
85,0.012,-0.027,1.027
86,0.000,-0.039,1.062
87,0.023,-0.031,1.023
88,0.031,-0.031,1.035
89,0.055,-0.059,1.047
90,0.230,-0.180,1.184
91,0.484,-0.230,1.195
92,0.547,-0.148,0.980
93,0.559,-0.066,1.133
94,0.770,-0.129,1.355
95,1.016,-0.340,1.410
96,1.016,-0.195,1.066
97,0.883,0.129,0.965
98,0.836,0.141,1.039
99,1.164,-0.227,1.137
100,1.094,-0.051,0.910
101,0.656,0.414,0.555
102,0.656,0.324,0.742
103,0.988,-0.145,1.066
104,0.766,-0.008,0.781
105,0.336,0.477,0.504
106,0.461,0.426,0.734
107,0.750,-0.051,1.219
108,0.586,-0.020,1.148
109,0.254,0.371,0.902
110,0.320,0.316,0.969
111,0.566,-0.188,1.527
112,0.434,-0.305,1.551
113,0.035,0.105,0.926
114,0.129,0.066,1.070
115,0.672,-0.215,1.543
116,0.461,-0.422,1.367
117,-0.047,-0.199,0.895
118,0.082,0.027,0.812
119,0.723,-0.266,1.180
120,0.562,-0.379,0.984
121,0.094,-0.211,0.797
122,0.273,-0.086,0.738
123,0.945,-0.215,1.109
124,0.875,-0.223,1.098
125,0.516,-0.004,0.789
126,0.711,0.117,0.871
127,1.156,-0.039,1.180
128,0.969,-0.070,1.180
129,0.582,0.137,0.941
130,0.816,0.223,1.043
131,1.289,0.137,1.320
132,0.898,0.172,1.113
133,0.184,0.281,0.664
134,0.305,0.258,0.852
135,0.930,0.090,1.340
136,0.652,0.234,0.816
137,-0.098,0.223,0.469
138,0.062,0.145,1.059
139,0.586,0.043,1.422
140,0.406,0.078,0.957
141,-0.039,0.016,0.711
142,0.047,-0.008,1.129
143,0.633,-0.090,1.574
144,0.586,-0.121,1.051
145,0.168,-0.398,0.973
146,0.129,-0.387,1.516
147,0.867,-0.203,1.504
148,0.883,-0.184,0.852
149,0.270,-0.355,0.902
150,0.301,-0.398,1.258
151,1.031,-0.219,1.191
152,0.770,-0.012,0.516
153,0.223,-0.172,0.719
154,0.508,-0.152,1.000
155,1.062,0.016,1.141
156,0.789,0.273,0.438
157,0.449,0.055,0.746
158,0.691,-0.121,1.375
159,0.961,0.262,1.258
160,0.840,0.445,0.680
161,0.555,0.145,0.965
162,0.555,0.145,0.965
163,0.512,0.031,1.426
164,0.695,0.348,1.270
165,0.801,0.543,0.770
166,0.340,0.168,0.805
167,0.168,-0.105,1.547
168,0.316,0.207,1.133
169,0.586,0.328,0.777
170,0.172,-0.207,0.922
171,0.070,-0.340,1.453
172,0.523,0.027,1.043
173,0.535,0.059,0.547
174,-0.191,-0.465,0.945
175,-0.234,-0.480,1.391
176,0.254,-0.199,1.047
177,0.117,-0.121,0.426
178,-0.453,-0.395,0.918
179,-0.445,-0.414,1.309
180,-0.031,-0.168,1.094
181,-0.043,-0.156,1.016
182,-0.223,-0.266,1.254
183,-0.297,-0.164,1.281
184,-0.363,0.043,0.980
185,-0.078,0.047,1.223
186,-0.016,-0.043,1.336
187,-0.238,0.113,1.145
188,-0.254,0.301,0.785
189,-0.035,0.266,1.156
190,0.105,0.035,1.297
191,-0.004,0.055,1.047
192,-0.035,0.324,0.773
193,0.043,0.285,0.852
194,0.266,0.082,0.922
195,0.277,0.012,1.000
196,0.344,0.141,0.887
197,0.293,0.145,0.801
198,0.156,-0.129,1.039
199,-0.164,-0.141,0.871
200,0.211,-0.016,1.121
201,0.633,-0.035,1.082
202,0.195,-0.223,0.812
203,-0.094,-0.383,1.355
204,0.125,-0.152,1.223
205,0.387,-0.023,0.973
206,-0.012,-0.316,1.023
207,-0.180,-0.430,1.309
208,-0.242,-0.086,1.078
209,-0.016,0.215,0.590
210,-0.164,-0.133,0.738
211,-0.324,-0.352,1.367
212,-0.301,-0.141,1.414
213,-0.113,0.223,0.766
214,-0.176,-0.004,0.859
215,-0.234,-0.266,1.414
216,-0.055,-0.062,1.395
217,-0.027,0.219,0.781
218,-0.160,0.172,0.734
219,-0.062,-0.016,1.098
220,0.102,-0.031,1.559
221,0.145,0.188,0.910
222,-0.027,0.102,0.723
223,-0.047,-0.070,1.121
224,0.090,0.008,1.223
225,0.383,0.133,0.926
226,0.367,-0.035,0.754
227,0.113,-0.129,1.039
228,0.047,0.062,0.977
229,0.391,-0.066,0.973
230,0.238,-0.184,0.879
231,0.020,-0.109,0.988
232,-0.004,0.062,0.781
233,0.211,0.008,1.051
234,0.141,-0.250,1.266
235,-0.070,-0.238,1.109
236,-0.203,0.031,0.961
237,-0.102,0.164,1.004
238,0.160,-0.172,1.293
239,-0.090,-0.332,1.238
240,-0.188,-0.059,1.297
241,-0.340,0.352,0.711
242,-0.305,0.027,0.973
243,-0.246,-0.406,1.297
244,-0.230,-0.121,1.484
245,-0.305,0.324,0.430
246,-0.160,0.121,0.719
247,-0.078,-0.273,1.461
248,-0.023,-0.066,1.344
249,0.125,0.254,0.496
250,0.254,0.090,0.816
251,0.129,-0.277,1.500
252,0.227,-0.133,1.504
253,0.359,0.289,0.266
254,0.348,-0.027,0.824
255,0.258,-0.309,1.645
256,0.238,-0.059,1.285
257,0.098,0.188,0.375
258,0.234,-0.047,0.809
259,0.262,-0.324,1.512
260,0.082,-0.184,1.113
261,0.055,0.133,0.543
262,0.234,0.000,1.031
263,-0.020,-0.188,1.344
264,-0.344,-0.074,1.027
265,-0.156,0.105,0.656
266,0.066,0.035,0.809
267,-0.445,-0.008,1.066
268,-0.801,-0.070,1.191
269,0.094,-0.012,1.145
270,0.465,0.031,1.176
271,-0.367,-0.012,1.211
272,-0.758,0.066,0.934
273,0.203,-0.109,1.305
274,0.594,-0.035,1.145
275,-0.297,0.051,0.883
276,-0.617,-0.070,1.098
277,0.402,-0.156,1.379
278,0.684,0.012,0.996
279,-0.156,-0.055,0.852
280,-0.723,-0.078,0.879
281,0.258,-0.023,1.012
282,0.938,-0.020,0.910
283,0.156,-0.172,1.051
284,-0.504,-0.180,0.938
285,0.270,-0.043,1.008
286,0.867,0.051,0.863
287,0.152,-0.016,0.895
288,-0.617,-0.102,1.156
289,0.098,-0.090,1.152
290,0.516,0.051,0.824
291,0.027,-0.039,1.172
292,-0.484,-0.129,1.297
293,-0.039,-0.121,1.215
294,0.352,0.195,0.699
295,-0.008,0.145,0.965
296,-0.363,-0.020,1.281
297,-0.168,-0.043,1.121
298,0.168,0.102,0.754
299,-0.145,0.117,1.059
300,-0.477,-0.023,1.156
301,-0.254,-0.070,1.008
302,0.156,-0.031,1.023
303,0.020,-0.012,0.988
304,-0.359,-0.074,0.895
305,-0.062,-0.270,1.262
306,0.238,-0.066,1.129
307,0.234,0.023,0.914
308,0.055,-0.191,1.133
309,0.199,-0.234,1.148
310,0.160,-0.031,0.922
311,0.160,0.152,0.719
312,0.156,-0.152,1.055
313,0.219,-0.398,1.344
314,0.242,-0.035,0.973
315,0.090,0.215,0.789
316,0.086,-0.078,1.250
317,-0.016,-0.133,1.133
318,0.008,-0.055,1.043
319,0.043,0.160,0.730
320,0.059,0.055,1.074
321,-0.031,-0.211,1.359
322,-0.137,0.039,0.859
323,0.000,0.148,1.016
324,0.039,0.055,1.148
325,-0.156,-0.098,1.000
326,-0.309,-0.055,0.965
327,0.086,0.156,1.000
328,0.105,0.133,0.949
329,-0.355,-0.047,0.828
330,-0.355,-0.047,0.828
331,-0.141,-0.066,1.109
332,0.254,-0.023,1.367
333,0.074,0.102,0.824
334,-0.348,-0.027,0.727
335,0.141,-0.324,1.578
336,0.422,-0.066,1.203
337,0.047,-0.004,0.906
338,-0.195,-0.109,0.945
339,0.137,-0.223,1.391
340,0.367,-0.090,1.125
341,-0.168,0.094,0.598
342,-0.238,-0.113,0.988
343,0.160,-0.184,1.211
344,0.238,-0.086,1.070
345,-0.098,0.074,0.715
346,-0.047,-0.109,1.094
347,0.180,-0.059,1.086
348,0.176,0.008,0.957
349,-0.055,0.105,0.746
350,0.094,-0.012,1.215
351,0.156,-0.090,1.320
352,-0.047,0.086,0.898
353,-0.137,0.105,0.680
354,-0.004,-0.125,1.398
355,0.035,0.008,1.277
356,-0.262,0.113,0.824
357,-0.199,0.031,0.914
358,-0.199,0.031,0.914
359,0.070,-0.188,1.324
360,0.066,-0.152,1.344
361,-0.203,0.234,0.613
362,0.043,-0.059,0.906
363,0.191,-0.348,1.441
364,-0.012,-0.137,1.172
365,-0.082,0.199,0.574
366,0.203,-0.113,0.910
367,0.152,-0.320,1.340
368,-0.031,-0.066,1.020
369,-0.039,0.145,0.578
370,-0.027,-0.047,0.883
371,0.000,-0.309,1.508
372,0.215,-0.125,1.320
373,0.270,0.152,0.887
374,-0.125,0.164,0.688
375,-0.039,-0.188,1.375
376,0.270,-0.203,1.551
377,0.117,0.172,0.672
378,-0.199,0.121,0.676
