Sample,X,Y,Z
0,0.031,0.207,1.062
1,0.004,-0.031,1.031
2,0.004,-0.027,1.031
3,0.027,-0.039,1.047
4,0.027,-0.043,1.031
5,0.004,-0.027,1.027
6,0.012,-0.031,1.039
7,0.027,-0.047,1.051
8,0.016,-0.043,1.031
9,0.012,-0.020,1.035
10,0.012,-0.023,1.027
11,0.023,-0.043,1.043
12,0.020,-0.043,1.039
13,-0.004,-0.039,1.035
14,0.020,-0.023,1.043
15,0.027,-0.039,1.039
16,0.016,-0.043,1.039
17,-0.008,-0.027,1.020
18,0.016,-0.035,1.039
19,0.035,-0.039,1.039
20,0.004,-0.043,1.043
21,0.000,-0.031,1.043
22,0.000,-0.031,1.043
23,0.027,-0.035,1.020
24,0.020,-0.043,1.059
25,0.043,-0.035,1.059
26,-0.012,-0.043,1.004
27,-0.020,-0.039,1.012
28,0.059,-0.027,1.074
29,0.016,-0.027,1.102
30,0.035,-0.027,1.031
31,0.031,-0.023,1.023
32,0.012,-0.043,1.051
33,0.012,-0.035,1.008
34,0.012,-0.039,1.047
35,0.016,-0.027,1.047
36,0.016,-0.035,1.043
37,0.000,-0.031,1.012
38,0.016,-0.035,1.035
39,0.016,-0.031,1.047
40,0.012,-0.031,1.031
41,0.012,-0.039,1.012
42,0.012,-0.039,1.012
43,0.023,-0.039,1.062
44,0.016,-0.023,1.039
45,0.008,-0.043,1.035
46,0.012,-0.039,1.016
47,0.020,-0.035,1.059
48,0.016,-0.031,1.043
49,0.012,-0.035,1.074
50,0.020,-0.047,1.066
51,-0.012,-0.027,1.004
52,0.039,-0.027,1.121
53,0.012,-0.023,1.086
54,0.035,-0.051,1.023
55,0.008,-0.039,1.023
56,0.008,-0.039,1.055
57,0.012,-0.031,1.031
58,0.027,-0.035,1.031
59,0.008,-0.031,1.047
60,0.012,-0.023,1.035
61,0.012,-0.035,1.027
62,0.012,-0.039,1.043
63,0.023,-0.031,1.047
64,0.016,-0.039,1.039
65,0.016,-0.031,1.043
66,0.016,-0.039,1.023
67,0.020,-0.043,1.055
68,0.004,-0.023,1.035
69,0.012,-0.043,1.051
70,0.016,-0.043,1.016
71,0.008,-0.039,1.039
72,0.031,-0.035,1.074
73,-0.023,-0.051,0.984
74,-0.020,-0.047,1.016
75,0.039,-0.035,1.070
76,0.000,-0.031,1.137
77,0.035,-0.031,0.945
78,0.004,-0.047,1.031
79,0.008,-0.035,1.043
80,0.016,-0.031,1.051
81,0.008,-0.035,1.012
82,0.020,-0.043,1.047
83,0.012,-0.023,1.027
84,0.016,-0.043,1.051
85,0.008,-0.035,1.027
86,0.020,-0.039,1.047
87,0.016,-0.027,1.031
88,0.016,-0.035,1.039
89,0.008,-0.043,1.039
90,0.008,-0.043,1.039
91,0.016,-0.035,1.020
92,0.020,-0.031,1.035
93,0.012,-0.035,1.035
94,0.000,-0.043,1.043
95,0.023,-0.047,1.039
96,0.078,-0.059,1.062
97,0.203,-0.121,1.152
98,0.105,-0.137,1.008
99,0.020,-0.078,0.945
100,0.242,-0.066,1.074
101,0.375,-0.098,1.102
102,0.223,-0.160,0.992
103,0.176,-0.094,1.066
104,0.434,0.016,1.289
105,0.535,-0.008,0.934
106,0.289,-0.242,1.176
107,0.312,-0.078,1.172
108,0.652,0.074,1.141
109,0.574,0.102,0.809
110,0.227,-0.082,1.105
111,0.316,-0.027,1.027
112,0.703,0.039,1.023
113,0.609,0.203,0.750
114,0.188,0.121,0.879
115,0.340,0.074,0.918
116,0.871,0.012,1.051
117,0.824,0.051,0.965
118,0.312,0.125,0.914
119,0.434,0.105,1.004
120,0.988,-0.082,1.242
121,0.777,-0.094,1.195
122,0.250,0.117,0.980
123,0.504,0.082,1.051
124,0.754,-0.180,1.395
125,0.578,-0.176,1.184
126,0.262,0.098,0.832
127,0.340,0.074,0.934
128,0.566,-0.227,1.273
129,0.504,-0.199,0.965
130,0.352,-0.012,0.750
131,0.410,0.020,0.867
132,0.535,-0.195,1.215
133,0.484,-0.262,1.125
134,0.492,-0.023,0.898
135,0.547,0.129,0.848
136,0.578,-0.027,1.250
137,0.535,-0.215,1.391
138,0.590,-0.012,0.973
139,0.582,0.141,0.816
140,0.547,0.023,1.297
141,0.559,-0.070,1.266
142,0.664,0.066,0.934
143,0.652,0.141,0.840
144,0.566,0.055,1.199
145,0.508,0.035,1.020
146,0.535,0.090,0.715
147,0.707,0.109,1.016
148,0.684,0.090,1.105
149,0.516,-0.023,0.938
150,0.445,-0.016,0.812
151,0.754,0.004,1.098
152,0.809,0.031,1.176
153,0.367,0.074,0.711
154,0.328,-0.141,1.000
155,0.672,-0.148,1.418
156,0.625,0.004,1.207
157,0.242,0.027,0.805
158,0.301,-0.141,1.086
159,0.562,-0.062,1.332
160,0.551,0.129,1.031
161,0.457,-0.027,0.879
162,0.352,-0.238,1.098
163,0.598,-0.152,1.496
164,0.656,0.129,0.863
165,0.297,-0.023,0.730
166,0.297,-0.270,1.242
167,0.621,0.000,1.133
168,0.613,0.223,0.719
169,0.426,0.156,0.660
170,0.441,-0.270,1.250
171,0.719,-0.176,1.402
172,0.664,0.188,1.023
173,0.566,0.316,0.609
174,0.570,-0.117,1.145
175,0.762,-0.219,1.445
176,0.590,0.328,0.754
177,0.574,0.227,0.711
178,0.504,-0.172,1.203
179,0.547,-0.211,1.336
180,0.402,0.211,0.891
181,0.457,0.242,0.711
182,0.324,-0.109,0.992
183,0.277,-0.238,1.367
184,0.281,0.109,0.906
185,0.410,0.156,0.777
186,0.227,-0.258,1.094
187,0.203,-0.383,1.598
188,0.246,0.055,0.891
189,0.207,0.102,0.699
190,0.012,-0.297,1.160
191,-0.059,-0.367,1.496
192,0.145,0.039,1.078
193,0.094,0.105,0.547
194,-0.137,-0.203,1.066
195,0.035,-0.250,1.426
196,0.211,0.008,1.055
197,0.051,0.102,0.789
198,0.039,-0.164,1.320
199,0.227,-0.055,1.145
200,0.152,0.172,0.789
201,0.051,0.039,0.957
202,-0.031,-0.047,1.199
203,0.117,0.051,1.148
204,0.258,0.242,0.555
205,0.082,0.094,0.965
206,-0.051,0.016,1.219
207,0.023,-0.035,1.082
208,0.129,0.055,1.000
209,0.070,0.137,0.957
210,0.070,-0.031,1.113
211,0.195,-0.168,1.102
212,0.148,-0.137,1.098
213,-0.164,-0.004,1.035
214,-0.184,0.074,0.914
215,0.094,-0.215,1.090
216,0.059,-0.305,1.352
217,-0.266,-0.004,0.867
218,-0.281,0.066,0.543
219,0.148,-0.332,1.383
220,0.066,-0.312,1.406
221,-0.023,0.031,0.891
222,0.008,0.027,0.703
223,-0.039,-0.223,1.062
224,-0.148,-0.211,1.289
225,-0.004,0.094,1.008
226,0.242,0.238,0.555
227,0.066,-0.188,1.176
228,-0.406,-0.074,1.336
229,-0.066,0.238,1.020
230,0.434,0.188,0.656
231,0.199,-0.207,1.250
232,-0.320,0.016,1.133
233,-0.062,0.230,0.973
234,-0.062,0.230,0.973
235,0.488,0.109,0.922
236,0.344,-0.266,1.434
237,-0.047,-0.078,1.109
238,-0.203,0.293,0.691
239,0.102,0.055,0.891
240,0.188,-0.355,1.285
241,-0.113,-0.223,1.281
242,-0.250,0.266,0.418
243,0.047,-0.012,0.562
244,0.270,-0.461,1.609
245,-0.008,-0.098,1.223
246,-0.172,0.215,0.508
247,-0.008,-0.074,0.719
248,0.195,-0.441,1.676
249,-0.031,-0.133,1.148
250,0.031,0.164,0.750
251,-0.137,0.016,0.898
252,0.012,-0.395,1.742
253,-0.047,-0.059,0.977
254,-0.051,0.336,0.617
255,-0.012,0.094,0.957
256,0.039,-0.379,1.664
257,-0.148,-0.059,0.867
258,-0.133,0.230,0.742
259,0.105,0.180,0.938
260,0.180,-0.281,1.465
261,-0.156,-0.113,0.930
262,-0.156,-0.113,0.930
263,-0.141,0.301,0.562
264,0.176,0.203,0.766
265,0.293,-0.273,1.535
266,-0.086,-0.113,1.105
267,-0.020,0.211,0.672
268,0.293,0.152,0.754
269,0.363,-0.340,1.648
270,-0.043,-0.137,1.336
271,-0.023,0.211,0.668
272,0.176,0.113,0.672
273,0.223,-0.316,1.371
274,-0.051,-0.289,1.496
275,-0.172,0.098,0.824
276,-0.012,0.160,0.473
277,0.109,-0.348,1.469
