Sample,X,Y,Z
0,0.008,0.004,1.023
1,0.004,-0.027,1.023
2,0.012,-0.047,1.035
3,0.023,-0.047,1.039
4,0.016,-0.039,1.043
5,0.004,-0.023,1.023
6,0.016,-0.031,1.035
7,0.020,-0.051,1.047
8,0.016,-0.039,1.027
9,0.004,-0.027,1.020
10,0.016,-0.035,1.043
11,0.035,-0.039,1.051
12,0.020,-0.039,1.035
13,0.008,-0.035,1.023
14,0.016,-0.043,1.039
15,0.023,-0.043,1.043
16,0.023,-0.023,1.039
17,0.012,-0.035,1.023
18,0.004,-0.031,1.043
19,0.016,-0.047,1.047
20,0.020,-0.035,1.027
21,0.012,-0.023,1.035
22,0.012,-0.031,1.027
23,0.016,-0.039,1.051
24,0.059,-0.035,1.031
25,0.023,-0.027,1.055
26,-0.031,-0.055,1.031
27,0.016,-0.043,1.020
28,0.023,-0.023,1.117
29,0.027,-0.020,0.984
30,0.008,-0.039,1.039
31,0.023,-0.043,1.043
32,0.008,-0.035,1.035
33,0.004,-0.039,1.043
34,0.012,-0.043,1.039
35,0.016,-0.043,1.043
36,0.012,-0.031,1.031
37,0.008,-0.035,1.043
38,0.016,-0.047,1.035
39,0.023,-0.039,1.039
40,0.023,-0.031,1.020
41,0.012,-0.031,1.031
42,0.008,-0.031,1.051
43,0.020,-0.047,1.043
44,0.020,-0.035,1.035
45,0.004,-0.031,1.047
46,0.008,-0.039,1.035
47,0.016,-0.043,1.031
48,0.043,-0.031,1.059
49,0.023,-0.047,1.047
50,-0.043,-0.051,0.953
51,0.055,-0.035,1.082
52,0.039,-0.039,1.074
53,0.016,-0.051,1.016
54,0.008,-0.035,1.027
55,0.012,-0.039,1.039
56,0.020,-0.047,1.039
57,0.016,-0.031,1.035
58,0.012,-0.039,1.035
59,0.020,-0.039,1.039
60,0.016,-0.031,1.035
61,0.012,-0.035,1.031
62,0.008,-0.035,1.027
63,0.016,-0.031,1.047
64,0.031,-0.043,1.051
65,0.016,-0.043,1.035
66,0.008,-0.035,1.023
67,0.012,-0.035,1.039
68,0.023,-0.035,1.047
69,0.020,-0.043,1.031
70,0.016,-0.043,1.031
71,0.016,-0.043,1.039
72,0.047,-0.027,1.090
73,0.004,-0.043,1.008
74,-0.027,-0.047,1.035
75,0.039,-0.035,1.121
76,0.043,-0.031,1.047
77,0.020,-0.039,0.953
78,0.000,-0.039,1.043
79,0.020,-0.039,1.031
80,0.020,-0.043,1.047
81,0.023,-0.027,1.031
82,0.012,-0.035,1.027
83,0.016,-0.035,1.039
84,0.023,-0.035,1.039
85,0.020,-0.043,1.043
86,0.020,-0.035,1.020
87,0.016,-0.039,1.043
88,0.020,-0.035,1.043
89,0.008,-0.035,1.035
90,0.008,-0.035,1.035
91,0.012,-0.027,1.035
92,0.023,-0.035,1.035
93,0.020,-0.016,1.090
94,0.016,0.129,1.148
95,0.016,0.199,0.945
96,-0.031,-0.004,1.059
97,-0.023,0.070,1.113
98,0.023,0.250,1.059
99,0.082,0.316,0.926
100,-0.027,0.062,1.125
101,-0.109,0.012,1.164
102,0.062,0.234,1.074
103,0.184,0.379,0.969
104,-0.023,0.176,1.027
105,-0.156,0.082,1.113
106,0.023,0.340,1.012
107,0.152,0.445,0.914
108,-0.012,0.199,1.227
109,-0.195,0.066,1.117
110,-0.066,0.375,0.855
111,0.066,0.605,0.906
112,-0.082,0.242,1.230
113,-0.219,0.039,1.176
114,-0.086,0.379,0.879
115,0.062,0.598,0.875
116,-0.031,0.270,1.074
117,-0.137,0.035,1.238
118,-0.031,0.410,1.031
119,0.176,0.664,0.859
120,0.109,0.410,1.199
121,-0.133,0.207,1.215
122,0.016,0.438,0.977
123,0.309,0.711,0.996
124,0.234,0.535,1.074
125,-0.098,0.262,1.117
126,0.016,0.508,0.992
127,0.273,0.895,0.820
128,0.203,0.652,0.930
129,-0.133,0.301,1.086
130,-0.141,0.438,1.066
131,0.148,0.707,0.902
132,0.082,0.500,1.039
133,-0.176,0.301,1.133
134,-0.164,0.418,1.125
135,0.055,0.609,1.016
136,0.051,0.520,1.047
137,-0.148,0.359,1.094
138,-0.148,0.359,1.094
139,-0.219,0.441,1.043
140,-0.016,0.547,0.922
141,0.016,0.414,1.004
142,-0.133,0.207,1.035
143,-0.129,0.371,1.172
144,0.055,0.656,0.797
145,0.219,0.414,1.125
146,-0.191,0.156,1.047
147,-0.133,0.340,1.098
148,0.000,0.707,0.863
149,0.215,0.465,1.129
150,-0.082,0.168,1.020
151,-0.035,0.496,1.336
152,0.203,0.957,0.918
153,0.246,0.621,0.848
154,-0.090,0.285,1.277
155,-0.016,0.617,1.098
156,0.160,0.793,0.656
157,0.371,0.465,1.184
158,-0.059,0.414,1.039
159,-0.164,0.461,0.691
160,0.102,0.434,0.918
161,0.098,0.379,1.156
162,-0.086,0.363,1.059
163,-0.125,0.453,0.891
164,-0.148,0.434,0.855
165,-0.086,0.340,1.277
166,-0.055,0.426,1.445
167,0.203,0.559,1.180
168,-0.020,0.609,1.008
169,-0.316,0.453,0.902
170,-0.281,0.285,1.414
171,0.215,0.547,1.215
172,0.133,0.711,0.695
173,-0.379,0.402,0.742
174,-0.305,0.148,0.914
175,0.328,0.094,1.441
176,0.324,0.562,0.766
177,-0.324,0.617,0.406
178,-0.453,0.172,1.203
179,0.344,0.055,1.266
180,0.430,0.488,0.727
181,-0.184,0.715,0.676
182,-0.074,0.297,1.352
183,0.551,0.035,1.539
184,0.090,0.238,0.852
185,-0.531,0.520,0.809
186,-0.039,0.434,1.547
187,0.730,0.211,1.562
188,0.141,0.398,0.789
189,-0.527,0.500,0.758
190,-0.039,0.219,1.371
191,0.500,0.055,1.270
192,0.004,0.180,0.559
193,-0.508,0.191,0.395
194,-0.246,-0.078,1.078
195,0.496,-0.090,1.199
196,0.410,0.047,0.738
197,-0.406,0.059,0.836
198,-0.227,-0.098,1.293
199,0.191,-0.129,1.625
200,0.246,0.105,0.820
201,-0.262,0.117,0.695
202,-0.203,-0.082,1.691
203,0.336,0.152,1.215
204,0.160,0.105,0.852
205,-0.367,0.012,0.777
206,-0.359,-0.113,1.363
207,0.281,-0.020,1.414
208,0.453,0.297,0.910
209,-0.336,0.344,0.637
210,-0.379,-0.055,0.957
211,0.258,-0.164,1.254
212,0.430,0.188,0.816
213,-0.215,0.359,0.195
214,-0.168,-0.129,0.789
215,0.316,-0.332,1.293
216,0.262,0.004,1.297
217,-0.258,0.305,0.945
218,-0.125,-0.043,1.258
219,0.145,-0.410,1.484
220,0.199,-0.031,1.234
221,-0.105,0.207,0.781
222,0.012,-0.180,1.008
223,0.188,-0.430,1.223
224,0.207,-0.121,1.090
225,-0.109,0.094,0.711
226,-0.215,-0.148,0.895
227,-0.047,-0.539,1.625
228,0.016,-0.223,1.188
229,-0.043,0.332,0.734
230,-0.141,0.152,0.773
231,-0.090,-0.340,1.172
232,0.164,-0.195,1.203
233,0.152,0.340,0.680
234,-0.070,0.312,0.480
235,-0.023,-0.215,1.230
236,0.227,-0.172,1.418
237,0.105,0.270,0.957
