Sample,X,Y,Z
0,0.008,0.230,1.023
1,0.027,-0.031,1.020
2,0.004,-0.047,1.027
3,0.008,-0.039,1.051
4,0.027,-0.035,1.051
5,0.012,-0.035,1.035
6,0.012,-0.039,1.023
7,0.023,-0.043,1.062
8,0.027,-0.023,1.027
9,0.012,-0.039,1.043
10,0.023,-0.039,1.047
11,0.020,-0.035,1.031
12,0.016,-0.039,1.039
13,0.023,-0.043,1.035
14,0.012,-0.035,1.035
15,0.008,-0.035,1.031
16,0.027,-0.031,1.039
17,0.020,-0.031,1.043
18,0.008,-0.043,1.043
19,0.016,-0.027,1.027
20,0.020,-0.027,1.047
21,0.008,-0.035,1.016
22,0.012,-0.043,1.059
23,0.020,-0.027,1.031
24,0.051,-0.016,1.098
25,-0.027,-0.039,1.012
26,0.012,-0.070,0.984
27,0.031,-0.031,1.125
28,0.027,-0.012,0.984
29,0.008,-0.047,1.035
30,-0.012,-0.059,1.039
31,0.000,-0.035,1.023
32,0.031,-0.023,1.051
33,0.023,-0.023,1.043
34,-0.008,-0.051,1.016
35,-0.004,-0.047,1.039
36,0.051,-0.016,1.047
37,0.027,-0.027,1.043
38,-0.016,-0.043,1.035
39,-0.008,-0.059,1.027
40,0.047,-0.027,1.055
41,0.051,-0.020,1.039
42,-0.016,-0.035,1.035
43,-0.012,-0.047,1.020
44,0.051,-0.035,1.047
45,0.039,-0.031,1.055
46,-0.016,-0.023,1.012
47,0.012,-0.047,1.027
48,0.055,-0.035,1.082
49,0.012,-0.039,1.082
50,-0.070,-0.043,0.953
51,-0.012,-0.062,1.000
52,0.059,-0.035,1.133
53,0.055,-0.023,1.066
54,-0.023,-0.031,0.992
55,0.012,-0.051,1.027
56,0.039,-0.035,1.059
57,0.020,-0.027,1.055
58,-0.004,-0.027,1.000
59,0.020,-0.043,1.020
60,0.039,-0.051,1.066
61,0.016,-0.027,1.051
62,0.000,-0.023,1.012
63,0.023,-0.031,1.020
64,0.027,-0.047,1.074
65,0.004,-0.031,1.039
66,0.004,-0.031,1.039
67,0.000,-0.035,1.008
68,0.004,-0.031,1.043
69,0.031,-0.035,1.059
70,0.016,-0.035,1.047
71,-0.008,-0.027,1.020
72,0.031,-0.035,1.023
73,0.047,-0.051,1.121
74,-0.027,-0.047,0.941
75,-0.012,-0.047,0.996
76,0.082,-0.020,1.074
77,0.039,-0.035,1.059
78,-0.020,-0.035,0.953
79,0.023,-0.047,1.016
80,0.047,-0.043,1.051
81,0.000,-0.031,1.043
82,-0.004,-0.031,1.031
83,0.035,-0.039,1.027
84,0.027,-0.039,1.051
85,-0.008,-0.027,1.031
86,0.000,-0.035,1.031
87,0.035,-0.043,1.043
88,0.023,-0.027,1.055
89,0.000,-0.035,1.023
90,0.008,-0.039,1.043
91,0.023,-0.043,1.031
92,0.023,-0.031,1.051
93,0.008,-0.027,1.031
94,0.016,-0.035,1.031
95,0.027,-0.039,1.027
96,0.039,-0.031,1.133
97,-0.047,-0.047,0.992
98,0.012,-0.055,1.012
99,0.074,-0.031,1.113
100,0.094,-0.070,1.023
101,0.098,-0.117,1.121
102,-0.004,-0.055,1.027
103,0.031,-0.012,0.973
104,0.203,-0.090,1.039
105,0.207,-0.141,1.137
106,0.070,-0.012,0.941
107,0.176,-0.016,0.906
108,0.266,-0.145,1.191
109,0.234,-0.145,1.293
110,0.258,0.039,1.098
111,0.293,0.082,0.789
112,0.273,-0.227,1.250
113,0.355,-0.168,1.363
114,0.473,0.148,0.891
115,0.289,0.109,0.785
116,0.164,-0.137,1.141
117,0.348,-0.141,1.219
118,0.406,0.152,0.781
119,0.270,0.191,0.676
120,0.250,-0.062,1.070
121,0.305,-0.086,1.000
122,0.293,0.203,0.797
123,0.418,0.199,0.918
124,0.625,-0.184,1.289
125,0.562,-0.133,1.254
126,0.332,0.238,0.895
127,0.488,0.160,1.008
128,0.805,-0.266,1.371
129,0.590,-0.195,1.281
130,0.270,0.246,0.820
131,0.445,0.117,0.957
132,0.672,-0.336,1.355
133,0.410,-0.285,1.277
134,0.152,0.207,0.609
135,0.488,0.145,0.809
136,0.668,-0.301,1.199
137,0.375,-0.312,1.156
138,0.148,0.176,0.551
139,0.504,0.102,0.754
140,0.828,-0.254,1.281
141,0.465,-0.195,1.289
142,0.465,-0.195,1.289
143,0.219,0.074,0.820
144,0.742,0.102,0.984
145,1.027,-0.125,1.371
146,0.457,-0.141,1.199
147,0.133,0.141,0.820
148,0.707,0.082,1.309
149,0.992,-0.043,1.176
150,0.539,-0.016,1.004
151,0.035,0.211,0.711
152,0.512,0.145,0.957
153,0.879,0.035,0.965
154,0.543,-0.051,1.117
155,0.164,0.066,0.914
156,0.547,0.145,0.836
157,0.805,0.055,0.902
158,0.625,-0.094,1.109
159,0.516,-0.023,1.156
160,0.719,0.051,1.031
161,0.633,0.027,0.871
162,0.633,0.027,0.871
163,0.574,-0.184,1.254
164,0.617,-0.195,1.324
165,0.594,-0.012,0.988
166,0.348,0.039,0.734
167,0.395,-0.133,1.164
168,0.637,-0.145,1.293
169,0.641,0.000,0.988
170,0.281,0.004,0.699
171,0.246,-0.031,1.016
172,0.691,-0.082,1.457
173,0.672,0.078,0.879
174,0.199,0.031,0.676
175,0.340,0.008,1.188
176,0.703,0.000,1.414
177,0.609,0.043,0.992
178,0.172,0.062,0.562
179,0.379,-0.055,1.383
180,0.773,-0.004,1.305
181,0.586,0.031,0.938
182,0.219,0.137,0.516
183,0.383,-0.020,1.164
184,0.742,-0.023,1.199
185,0.570,0.027,1.098
186,0.309,0.043,0.809
187,0.520,-0.156,1.105
188,0.633,-0.074,1.180
189,0.410,0.047,0.996
190,0.512,0.000,0.961
191,0.625,-0.102,1.008
192,0.598,-0.156,1.289
193,0.539,-0.016,0.941
194,0.332,0.051,0.746
195,0.086,-0.023,1.012
196,0.344,-0.074,1.180
197,0.570,-0.148,1.289
198,0.223,0.055,0.707
199,-0.289,0.008,0.652
200,0.164,-0.102,1.352
201,0.621,-0.066,1.359
202,0.098,-0.062,0.969
203,-0.270,0.012,0.695
204,0.242,-0.141,1.441
205,0.531,-0.082,1.484
206,-0.016,0.066,0.777
207,-0.320,0.027,0.816
208,0.277,-0.141,1.531
209,0.559,-0.004,1.109
210,-0.004,0.008,0.707
211,-0.367,-0.035,0.824
212,0.359,-0.070,1.406
213,0.754,0.023,1.004
214,0.035,0.020,0.633
215,-0.430,0.027,0.727
216,0.355,-0.016,1.430
217,0.707,-0.008,1.027
218,-0.016,-0.004,0.566
219,-0.344,-0.016,1.047
220,0.250,0.020,1.387
221,0.586,0.012,1.109
222,0.180,-0.047,0.938
223,-0.113,-0.020,0.996
224,0.008,-0.027,1.238
225,0.133,-0.047,1.145
226,0.031,-0.098,1.004
227,-0.059,-0.102,1.082
228,-0.109,0.078,0.812
229,-0.160,-0.156,1.129
230,-0.203,-0.090,1.168
231,-0.074,-0.051,1.023
232,0.027,-0.047,0.785
233,-0.305,-0.098,1.000
234,-0.246,-0.129,1.281
235,0.129,0.047,0.895
236,0.211,-0.004,0.859
237,-0.121,-0.215,1.152
238,-0.141,-0.203,1.461
239,0.062,0.191,0.871
240,0.273,0.191,0.793
241,0.195,-0.301,1.340
242,0.008,-0.082,1.156
243,-0.023,0.207,0.793
244,0.332,0.109,0.711
245,0.336,-0.281,1.461
246,0.066,-0.133,1.227
247,-0.082,0.215,0.492
248,0.172,0.090,0.664
249,0.207,-0.254,1.352
250,-0.098,-0.121,1.238
251,-0.219,0.262,0.523
252,0.012,0.027,0.812
253,-0.012,-0.293,1.367
254,-0.074,-0.062,1.266
255,-0.172,0.211,0.773
256,0.098,-0.152,1.090
257,0.145,-0.363,1.535
258,0.145,-0.363,1.535
259,-0.176,0.070,1.027
260,-0.246,0.352,0.410
261,0.070,-0.242,1.238
262,0.102,-0.449,1.672
263,-0.242,0.059,0.801
264,-0.254,0.324,0.410
265,0.043,-0.078,1.223
266,0.168,-0.457,1.590
267,0.020,-0.109,0.953
268,-0.043,0.414,0.395
269,0.238,0.031,1.152
270,0.273,-0.480,1.520
271,-0.008,-0.242,1.129
272,-0.062,0.438,0.441
273,0.164,0.191,0.895
274,0.090,-0.359,1.453
275,-0.020,-0.348,1.383
276,0.043,0.375,0.363
277,0.211,0.316,0.465
278,0.004,-0.309,1.516
279,-0.125,-0.309,1.496
280,0.262,0.254,0.727
281,0.344,0.273,0.621
282,-0.051,-0.160,1.246
283,-0.289,-0.246,1.461
284,0.234,0.133,0.715
285,0.230,0.117,0.727
286,-0.465,-0.090,1.258
287,-0.477,-0.188,1.562
288,0.414,-0.137,1.152
289,0.402,0.004,0.750
290,-0.598,0.000,0.730
291,-0.660,-0.121,1.207
292,0.414,-0.152,1.297
293,0.609,-0.125,1.078
