Sample,X,Y,Z
0,0.020,0.023,1.070
1,0.000,-0.035,1.023
2,0.016,-0.039,1.031
3,0.023,-0.035,1.043
4,0.031,-0.035,1.051
5,0.008,-0.035,1.027
6,0.008,-0.055,1.035
7,0.023,-0.023,1.039
8,0.004,-0.023,1.039
9,0.004,-0.047,1.031
10,0.016,-0.047,1.031
11,0.027,-0.035,1.039
12,0.008,-0.031,1.035
13,0.016,-0.039,1.031
14,0.023,-0.039,1.035
15,0.023,-0.023,1.035
16,0.016,-0.031,1.031
17,0.008,-0.043,1.031
18,0.020,-0.051,1.047
19,0.023,-0.031,1.039
20,0.004,-0.035,1.039
21,0.004,-0.039,1.027
22,0.008,-0.047,1.039
23,0.020,-0.035,1.035
24,0.055,-0.031,1.090
25,-0.027,-0.031,1.008
26,-0.023,-0.047,1.043
27,0.062,-0.031,1.070
28,0.051,-0.027,1.020
29,0.000,-0.035,0.988
30,0.020,-0.059,1.020
31,0.012,-0.039,1.035
32,0.008,-0.027,1.023
33,0.016,-0.027,1.035
34,0.020,-0.047,1.039
35,0.016,-0.043,1.047
36,0.020,-0.039,1.035
37,0.008,-0.035,1.031
38,0.008,-0.031,1.035
39,0.012,-0.039,1.051
40,0.020,-0.039,1.027
41,0.016,-0.035,1.031
42,0.016,-0.031,1.039
43,0.020,-0.047,1.051
44,0.016,-0.035,1.027
45,0.012,-0.031,1.020
46,0.027,-0.031,1.031
47,0.023,-0.039,1.051
48,0.023,-0.035,1.047
49,-0.035,-0.051,0.941
50,0.004,-0.047,0.996
51,0.039,-0.023,1.113
52,0.039,-0.039,1.109
53,0.020,-0.039,0.953
54,0.000,-0.043,1.051
55,0.031,-0.023,1.055
56,0.023,-0.039,1.047
57,0.012,-0.047,1.027
58,-0.004,-0.047,1.020
59,0.027,-0.031,1.039
60,0.039,-0.031,1.055
61,0.020,-0.039,1.023
62,-0.004,-0.043,1.020
63,0.016,-0.027,1.031
64,0.031,-0.031,1.051
65,0.004,-0.043,1.047
66,0.004,-0.043,1.047
67,0.004,-0.043,1.023
68,0.023,-0.035,1.035
69,0.027,-0.023,1.031
70,0.004,-0.043,1.039
71,0.000,-0.043,1.043
72,0.031,-0.035,1.031
73,0.043,-0.008,1.051
74,-0.023,-0.055,1.039
75,-0.055,-0.051,1.012
76,0.070,-0.035,1.062
77,0.066,-0.016,1.062
78,-0.004,-0.043,1.035
79,0.004,-0.047,1.027
80,0.031,-0.035,1.027
81,0.027,-0.023,1.035
82,0.004,-0.035,1.062
83,0.004,-0.051,1.031
84,0.027,-0.039,1.031
85,0.016,-0.008,1.023
86,0.008,-0.039,1.047
87,0.020,-0.059,1.035
88,0.023,-0.031,1.039
89,0.016,-0.020,1.031
90,0.008,-0.035,1.047
91,0.012,-0.062,1.035
92,0.020,-0.031,1.035
93,0.008,-0.012,1.031
94,0.004,-0.043,1.039
95,0.027,-0.043,1.047
96,0.031,0.070,1.188
97,0.039,0.176,1.055
98,-0.070,-0.055,0.961
99,-0.035,-0.055,1.070
100,0.070,0.184,1.168
101,0.098,0.242,0.910
102,-0.031,0.008,1.043
103,-0.082,-0.035,1.152
104,0.043,0.215,1.168
105,0.102,0.363,1.012
106,-0.035,0.145,1.078
107,-0.094,0.074,1.145
108,0.035,0.324,1.121
109,0.074,0.488,0.879
110,-0.059,0.215,0.848
111,-0.055,0.078,1.227
112,0.043,0.309,1.184
113,-0.043,0.352,0.797
114,-0.160,0.141,0.828
115,-0.066,0.043,1.324
116,0.000,0.219,1.152
117,-0.070,0.352,0.727
118,-0.156,0.133,0.922
119,-0.055,-0.023,1.355
120,0.062,0.281,1.195
121,-0.004,0.527,0.781
122,-0.113,0.305,1.062
123,0.023,0.258,1.359
124,0.191,0.559,1.203
125,0.039,0.680,0.910
126,0.008,0.477,0.930
127,0.152,0.305,1.223
128,0.145,0.582,1.082
129,0.102,0.719,0.734
130,0.086,0.406,0.867
131,0.078,0.297,1.062
132,0.113,0.617,0.949
133,0.090,0.676,0.723
134,-0.012,0.363,0.887
135,-0.066,0.230,1.180
136,0.027,0.453,1.156
137,0.062,0.613,0.926
138,-0.117,0.453,1.062
139,-0.145,0.320,1.383
140,-0.016,0.496,1.281
141,-0.035,0.621,0.992
142,-0.066,0.445,1.043
143,-0.211,0.367,1.203
144,0.016,0.523,1.180
145,-0.133,0.508,0.809
146,-0.211,0.227,0.891
147,-0.168,0.266,1.203
148,0.031,0.574,1.055
149,0.109,0.578,0.645
150,-0.141,0.160,0.930
151,-0.129,0.148,1.059
152,-0.016,0.598,1.090
153,0.227,0.770,0.816
154,0.176,0.273,1.039
155,-0.055,0.254,1.320
156,0.250,0.824,1.336
157,0.430,1.000,0.902
158,0.137,0.457,1.008
159,-0.188,0.379,1.332
160,-0.105,0.770,1.055
161,0.242,0.680,0.781
162,0.270,0.273,0.992
163,-0.246,0.227,1.078
164,-0.172,0.555,1.000
165,0.234,0.555,0.824
166,0.109,0.129,0.949
167,-0.246,0.031,1.102
168,-0.113,0.508,0.914
169,-0.195,0.719,0.691
170,-0.090,0.332,1.094
171,-0.109,0.215,1.332
172,0.027,0.484,1.473
173,0.043,0.832,1.008
174,-0.223,0.621,1.133
175,-0.094,0.332,1.402
176,0.172,0.441,1.465
177,0.102,0.711,0.527
178,-0.238,0.348,0.734
179,-0.148,0.105,0.871
180,0.449,0.246,1.254
181,0.246,0.688,0.793
182,-0.328,0.531,0.531
183,-0.320,-0.055,1.172
184,0.523,-0.070,1.641
185,0.297,0.770,0.648
186,0.297,0.770,0.648
187,-0.320,0.824,0.371
188,-0.109,0.066,1.484
189,0.559,-0.121,1.676
190,0.359,0.434,0.781
191,-0.469,0.711,0.457
192,-0.062,0.168,1.523
193,0.508,-0.074,1.652
194,-0.020,0.289,0.918
195,-0.629,0.578,0.453
196,0.094,-0.004,1.504
197,0.492,-0.164,1.379
198,-0.070,0.223,0.715
199,-0.578,0.543,0.418
200,-0.223,0.102,0.930
201,0.234,-0.414,1.316
202,0.098,0.074,0.848
203,-0.461,0.621,0.555
204,-0.086,0.285,1.340
205,0.223,-0.270,1.520
206,0.168,-0.152,1.203
207,-0.289,0.379,0.566
208,-0.082,0.281,1.129
209,0.473,0.000,1.059
