Sample,X,Y,Z
0,0.012,0.219,1.059
1,0.012,-0.043,1.051
2,0.039,-0.039,1.031
3,0.012,-0.027,1.027
4,0.004,-0.039,1.043
5,0.023,-0.047,1.055
6,0.023,-0.039,1.043
7,0.012,-0.027,1.020
8,0.012,-0.027,1.043
9,0.012,-0.039,1.039
10,0.016,-0.043,1.051
11,0.012,-0.027,1.023
12,0.012,-0.031,1.035
13,0.008,-0.031,1.062
14,0.020,-0.039,1.039
15,0.020,-0.035,1.023
16,0.012,-0.020,1.027
17,0.012,-0.035,1.055
18,0.008,-0.043,1.031
19,0.016,-0.035,1.027
20,0.027,-0.023,1.043
21,0.004,-0.035,1.055
22,0.000,-0.051,1.027
23,0.020,-0.043,1.027
24,0.027,-0.031,1.074
25,0.035,-0.051,1.109
26,-0.039,-0.047,1.008
27,0.062,-0.039,1.039
28,0.035,-0.039,1.090
29,0.008,-0.047,0.996
30,0.000,-0.031,1.000
31,0.027,-0.031,1.016
32,0.027,-0.035,1.035
33,0.004,-0.039,1.062
34,0.004,-0.035,1.016
35,0.020,-0.047,1.035
36,0.020,-0.023,1.031
37,0.000,-0.031,1.039
38,0.008,-0.039,1.039
39,0.031,-0.043,1.039
40,0.008,-0.035,1.043
41,-0.004,-0.031,1.035
42,-0.004,-0.031,1.035
43,0.023,-0.035,1.027
44,0.035,-0.035,1.051
45,0.008,-0.031,1.031
46,-0.008,-0.043,1.059
47,0.012,-0.039,1.012
48,0.043,-0.043,1.039
49,0.016,-0.012,1.078
50,0.012,-0.055,1.078
51,-0.043,-0.047,0.984
52,0.062,-0.047,1.059
53,0.027,-0.023,1.137
54,-0.004,-0.051,0.980
55,0.008,-0.043,1.047
56,0.027,-0.031,1.020
57,0.000,-0.023,1.047
58,0.012,-0.043,1.047
59,0.035,-0.039,1.027
60,0.016,-0.043,1.035
61,-0.004,-0.027,1.027
62,0.012,-0.051,1.047
63,0.031,-0.035,1.035
64,0.023,-0.023,1.027
65,-0.008,-0.035,1.047
66,0.012,-0.047,1.066
67,0.047,-0.031,1.035
68,0.016,-0.020,1.020
69,-0.008,-0.027,1.031
70,0.020,-0.055,1.059
71,0.031,-0.043,1.039
72,0.031,-0.023,1.117
73,-0.051,-0.035,1.012
74,-0.016,-0.047,0.988
75,0.055,-0.027,1.035
76,0.023,-0.020,1.031
77,-0.031,-0.062,0.965
78,0.023,-0.043,1.039
79,0.023,-0.039,1.039
80,0.016,-0.027,1.020
81,0.004,-0.039,1.035
82,0.020,-0.047,1.070
83,0.031,-0.031,1.023
84,0.012,-0.031,1.023
85,0.000,-0.023,1.039
86,0.020,-0.051,1.066
87,0.031,-0.043,1.023
88,0.016,-0.031,1.031
89,-0.008,-0.020,1.062
90,0.023,-0.043,1.039
91,0.039,-0.051,1.027
92,0.043,-0.047,1.035
93,0.121,-0.109,1.117
94,0.145,-0.121,1.090
95,0.102,-0.062,1.055
96,0.258,-0.008,0.902
97,0.422,-0.164,1.086
98,0.289,-0.195,1.234
99,0.316,0.020,1.270
100,0.422,0.098,0.867
101,0.430,-0.242,1.102
102,0.344,-0.227,1.297
103,0.441,0.059,1.105
104,0.488,0.152,0.711
105,0.395,-0.113,1.055
106,0.391,-0.191,1.266
107,0.539,0.055,0.941
108,0.602,0.207,0.738
109,0.469,0.062,0.996
110,0.398,-0.012,1.047
111,0.625,0.094,0.926
112,0.844,0.141,0.902
113,0.609,0.055,1.016
114,0.609,0.055,1.016
115,0.352,0.051,1.012
116,0.625,0.055,1.066
117,0.785,0.051,1.012
118,0.441,0.039,1.004
119,0.309,0.082,1.137
120,0.551,-0.023,1.180
121,0.664,-0.125,1.203
122,0.344,0.020,0.918
123,0.293,0.047,0.961
124,0.523,-0.094,1.160
125,0.535,-0.203,1.137
126,0.371,-0.090,0.863
127,0.508,0.016,0.887
128,0.625,-0.141,1.145
129,0.531,-0.246,1.137
130,0.461,-0.137,0.914
131,0.688,0.027,0.867
132,0.668,-0.008,1.008
