Sample,X,Y,Z
0,0.023,0.031,1.031
1,0.008,-0.039,1.020
2,0.023,-0.008,1.039
3,0.027,-0.039,1.062
4,0.023,-0.051,1.039
5,0.012,-0.043,1.023
6,0.027,-0.023,1.043
7,0.020,-0.043,1.059
8,0.016,-0.047,1.027
9,0.008,-0.039,1.016
10,0.020,-0.016,1.035
11,0.016,-0.039,1.059
12,0.012,-0.051,1.031
13,0.004,-0.035,1.023
14,0.023,-0.023,1.039
15,0.023,-0.039,1.055
16,0.004,-0.055,1.047
17,0.000,-0.027,1.020
18,0.031,-0.023,1.043
19,0.016,-0.035,1.047
20,0.020,-0.051,1.027
21,0.012,-0.031,1.023
22,0.027,-0.012,1.043
23,0.031,-0.043,1.051
24,0.047,-0.055,1.074
25,0.000,-0.027,1.078
26,-0.020,-0.031,1.016
27,0.047,-0.055,1.066
28,0.027,-0.051,1.086
29,0.039,-0.039,0.973
30,0.012,-0.020,1.027
31,0.020,-0.047,1.047
32,0.004,-0.051,1.039
33,0.008,-0.031,1.039
34,0.020,-0.020,1.039
35,0.027,-0.043,1.043
36,0.012,-0.055,1.035
37,0.016,-0.039,1.027
38,0.035,-0.027,1.047
39,0.031,-0.039,1.047
40,0.004,-0.051,1.047
41,0.012,-0.039,1.020
42,0.020,-0.023,1.047
43,0.027,-0.043,1.059
44,0.008,-0.051,1.043
45,0.004,-0.047,1.020
46,0.023,-0.031,1.039
47,0.031,-0.039,1.059
48,0.027,-0.051,1.047
49,-0.012,-0.062,0.949
50,0.031,-0.031,0.996
51,0.027,-0.043,1.113
52,0.051,-0.047,0.961
53,-0.012,-0.059,1.031
54,0.039,-0.043,1.016
55,0.031,-0.043,1.039
56,0.012,-0.035,1.047
57,0.004,-0.043,1.043
58,0.012,-0.043,1.031
59,0.023,-0.035,1.039
60,0.020,-0.047,1.039
61,0.016,-0.031,1.035
62,0.008,-0.035,1.020
63,0.020,-0.035,1.035
64,0.027,-0.035,1.039
65,0.020,-0.043,1.055
66,0.008,-0.047,1.031
67,0.020,-0.043,1.031
68,0.027,-0.031,1.039
69,0.016,-0.039,1.035
70,0.016,-0.035,1.047
71,0.016,-0.027,1.027
72,0.039,-0.023,1.047
73,-0.047,-0.059,1.016
74,0.027,-0.047,1.062
75,0.039,-0.031,1.086
76,0.035,-0.023,1.043
77,-0.004,-0.051,0.984
78,0.023,-0.039,1.051
79,0.023,-0.035,1.039
80,0.027,-0.031,1.035
81,0.016,-0.039,1.039
82,0.020,-0.043,1.035
83,0.016,-0.039,1.031
84,0.020,-0.031,1.035
85,0.016,-0.031,1.039
86,0.016,-0.055,1.039
87,0.012,-0.039,1.039
88,0.023,-0.016,1.039
89,0.016,-0.039,1.039
90,0.004,-0.008,1.102
91,0.020,0.184,1.160
92,0.023,0.234,0.977
93,-0.047,0.055,1.102
94,-0.059,0.180,1.141
95,0.051,0.402,1.105
96,0.086,0.414,1.055
97,-0.105,0.219,1.078
98,-0.121,0.215,1.133
99,0.094,0.422,1.160
100,0.145,0.457,0.848
101,-0.051,0.195,0.875
102,-0.008,0.160,1.293
103,0.086,0.367,1.141
104,-0.039,0.289,0.859
105,-0.176,0.211,0.996
106,-0.078,0.316,1.230
107,-0.023,0.445,1.086
108,-0.125,0.414,0.824
109,-0.172,0.277,1.125
110,-0.027,0.359,1.172
111,0.066,0.539,1.152
112,-0.047,0.648,0.820
113,-0.074,0.316,1.086
114,0.062,0.375,1.172
115,0.133,0.629,0.969
116,0.090,0.602,0.832
117,0.062,0.375,1.031
118,0.102,0.328,1.137
119,0.094,0.566,0.992
120,0.148,0.742,0.906
121,0.133,0.555,0.953
122,0.059,0.371,1.082
123,-0.074,0.477,1.129
124,-0.008,0.672,1.008
125,0.059,0.520,1.047
126,-0.008,0.457,1.109
127,-0.117,0.535,1.188
128,-0.090,0.543,0.941
129,0.082,0.414,1.043
130,-0.082,0.426,1.145
131,-0.109,0.602,1.035
132,-0.062,0.598,0.781
133,-0.031,0.238,0.996
134,-0.125,0.191,1.188
135,-0.090,0.559,1.043
136,0.039,0.629,0.820
137,0.055,0.238,0.910
138,0.055,0.238,0.910
139,-0.148,0.094,1.168
140,-0.207,0.445,1.199
141,0.141,0.707,0.871
142,0.234,0.316,1.090
143,0.051,0.168,1.402
144,-0.074,0.664,1.352
145,0.129,0.898,0.801
146,0.152,0.438,0.898
147,-0.152,0.328,1.090
148,-0.129,0.566,1.145
149,0.215,0.754,0.723
150,0.129,0.426,0.914
151,0.055,0.375,1.082
152,-0.031,0.473,1.031
153,0.090,0.531,0.910
154,0.320,0.438,0.883
155,0.109,0.312,1.020
156,-0.125,0.504,0.883
157,-0.137,0.742,0.816
158,-0.031,0.555,1.141
159,0.129,0.273,1.477
160,-0.020,0.387,1.344
161,-0.172,0.730,1.035
162,-0.328,0.590,1.000
163,0.074,0.121,1.371
164,0.082,0.211,1.211
165,-0.281,0.582,0.738
166,-0.387,0.516,0.508
167,0.184,0.055,1.387
168,0.324,0.230,1.172
169,-0.168,0.668,0.605
170,-0.453,0.621,0.629
171,0.211,0.141,1.680
172,0.371,0.355,1.379
173,-0.109,0.754,0.234
174,-0.473,0.535,0.875
175,0.348,0.203,1.352
176,0.680,0.137,1.422
177,-0.066,0.664,0.691
178,-0.422,0.531,0.621
179,0.379,-0.074,1.688
180,0.371,-0.020,1.559
