Sample,X,Y,Z
0,0.023,0.199,1.055
1,0.016,-0.051,1.055
2,0.020,-0.047,1.039
3,0.031,-0.031,1.027
4,0.020,-0.035,1.039
5,0.023,-0.051,1.051
6,0.031,-0.039,1.051
7,0.020,-0.035,1.023
8,0.012,-0.039,1.035
9,0.023,-0.047,1.055
10,0.043,-0.047,1.047
11,0.023,-0.023,1.023
12,0.016,-0.031,1.027
13,0.020,-0.051,1.051
14,0.035,-0.035,1.051
15,0.023,-0.031,1.027
16,0.016,-0.035,1.016
17,0.023,-0.062,1.051
18,0.027,-0.047,1.055
19,0.023,-0.031,1.020
20,0.020,-0.035,1.035
21,0.027,-0.047,1.039
22,0.027,-0.047,1.051
23,0.016,-0.035,1.043
24,0.000,-0.020,1.027
25,0.047,-0.047,1.043
26,-0.012,-0.059,1.016
27,0.027,-0.043,1.012
28,0.023,-0.031,1.152
29,0.047,-0.047,0.949
30,0.020,-0.047,1.020
31,0.016,-0.043,1.043
32,0.023,-0.039,1.039
33,0.027,-0.031,1.031
34,0.020,-0.039,1.051
35,0.020,-0.039,1.047
36,0.023,-0.039,1.035
37,0.023,-0.039,1.035
38,0.031,-0.035,1.023
39,0.023,-0.039,1.043
40,0.023,-0.047,1.035
41,0.016,-0.043,1.035
42,0.020,-0.047,1.047
43,0.023,-0.043,1.039
44,0.027,-0.039,1.039
45,0.023,-0.039,1.031
46,0.027,-0.039,1.047
47,0.027,-0.043,1.055
48,0.035,-0.043,1.070
49,0.031,-0.023,1.121
50,0.055,-0.039,1.109
51,0.004,-0.059,1.035
52,0.016,-0.059,1.086
53,0.047,-0.023,1.125
54,0.023,-0.039,1.031
55,0.031,-0.047,1.039
56,0.020,-0.051,1.047
57,0.023,-0.027,1.043
58,0.023,-0.031,1.043
59,0.023,-0.051,1.031
60,0.012,-0.043,1.043
61,0.023,-0.035,1.039
62,0.035,-0.027,1.023
63,0.016,-0.043,1.031
64,0.012,-0.055,1.043
65,0.027,-0.047,1.051
66,0.035,-0.031,1.039
67,0.023,-0.027,1.023
68,0.008,-0.043,1.051
69,0.027,-0.039,1.059
70,0.027,-0.031,1.023
71,0.016,-0.035,1.027
72,-0.012,-0.039,1.047
73,0.035,-0.027,1.090
74,0.043,-0.051,1.047
75,-0.016,-0.035,0.973
76,0.051,-0.051,1.016
77,0.039,-0.031,1.160
78,0.020,-0.039,1.070
79,0.020,-0.031,1.031
80,0.039,-0.039,1.035
81,0.031,-0.039,1.059
82,0.012,-0.039,1.043
83,0.020,-0.047,1.020
84,0.031,-0.035,1.031
85,0.035,-0.043,1.055
86,0.020,-0.031,1.051
87,0.020,-0.031,1.027
88,0.023,-0.039,1.039
89,0.031,-0.039,1.047
90,0.023,-0.035,1.059
91,0.023,-0.035,1.012
92,0.035,-0.066,1.070
93,0.035,-0.047,1.043
94,0.004,-0.031,1.008
95,0.082,0.000,0.992
96,0.230,-0.055,1.020
97,0.312,-0.156,1.301
98,0.156,-0.133,1.082
99,0.238,-0.125,1.016
100,0.543,-0.180,1.148
101,0.656,-0.242,1.316
102,0.457,-0.047,1.215
103,0.348,0.062,0.754
104,0.594,-0.188,1.078
105,0.730,-0.184,1.336
106,0.512,0.078,0.926
107,0.344,0.121,0.746
108,0.570,-0.059,1.012
109,0.699,-0.043,1.188
110,0.379,0.277,0.711
111,0.215,0.281,0.598
112,0.648,-0.051,1.098
113,0.867,-0.039,1.234
114,0.320,0.324,0.848
115,0.184,0.301,0.777
116,0.871,-0.145,1.359
117,0.984,-0.133,1.387
118,0.289,0.281,0.875
