Sample,X,Y,Z
0,0.008,0.219,1.023
1,0.016,-0.039,1.043
2,0.016,-0.043,1.043
3,0.023,-0.043,1.039
4,0.031,-0.051,1.047
5,0.023,-0.035,1.031
6,0.020,-0.035,1.043
7,0.020,-0.035,1.031
8,0.027,-0.047,1.047
9,0.031,-0.039,1.043
10,0.023,-0.031,1.035
11,0.023,-0.043,1.043
12,0.023,-0.035,1.039
13,0.023,-0.039,1.043
14,0.023,-0.039,1.043
15,0.016,-0.035,1.043
16,0.020,-0.043,1.035
17,0.023,-0.043,1.043
18,0.027,-0.039,1.051
19,0.023,-0.043,1.039
20,0.023,-0.051,1.039
21,0.020,-0.039,1.051
22,0.020,-0.039,1.051
23,0.027,-0.031,1.039
24,0.023,-0.039,1.035
25,0.047,-0.031,1.000
26,0.039,-0.039,1.137
27,-0.004,-0.051,0.996
28,0.016,-0.047,1.066
29,0.055,-0.039,1.102
30,0.043,-0.039,1.078
31,0.031,-0.039,1.000
32,0.020,-0.035,1.035
33,0.020,-0.035,1.035
34,0.027,-0.043,1.031
35,0.016,-0.047,1.051
36,0.016,-0.035,1.027
37,0.031,-0.031,1.035
38,0.023,-0.043,1.047
39,0.016,-0.043,1.047
40,0.016,-0.035,1.027
41,0.039,-0.043,1.031
42,0.027,-0.039,1.055
43,0.012,-0.047,1.043
44,0.023,-0.035,1.031
45,0.023,-0.035,1.043
46,0.020,-0.035,1.043
47,0.020,-0.035,1.035
48,0.020,-0.035,1.016
49,0.000,-0.051,0.930
50,0.000,-0.051,1.059
51,0.031,-0.023,1.113
52,0.027,-0.039,1.105
53,-0.004,-0.047,1.023
54,0.035,-0.043,1.008
55,0.020,-0.035,1.027
56,0.031,-0.043,1.047
57,0.027,-0.043,1.035
58,0.016,-0.039,1.031
59,0.016,-0.035,1.043
60,0.031,-0.047,1.051
61,0.020,-0.035,1.051
62,0.016,-0.043,1.031
63,0.023,-0.035,1.039
64,0.031,-0.043,1.047
65,0.027,-0.039,1.047
66,0.020,-0.047,1.027
67,0.016,-0.039,1.043
68,0.027,-0.039,1.051
69,0.023,-0.031,1.039
70,0.016,-0.043,1.023
71,0.027,-0.047,1.047
72,0.031,-0.031,1.070
73,0.055,-0.031,1.055
74,0.000,-0.047,1.008
75,0.031,-0.043,1.020
76,0.043,-0.035,1.117
77,0.039,-0.035,1.016
78,0.004,-0.043,1.004
79,0.023,-0.043,1.043
80,0.027,-0.039,1.051
81,0.016,-0.035,1.031
82,0.020,-0.043,1.027
83,0.027,-0.035,1.043
84,0.027,-0.039,1.055
85,0.020,-0.039,1.039
86,0.020,-0.035,1.027
87,0.031,-0.039,1.043
88,0.027,-0.035,1.035
89,0.008,-0.051,1.051
90,0.016,-0.051,1.031
91,0.031,-0.035,1.039
92,0.035,-0.047,1.047
93,0.016,-0.051,1.035
94,0.031,-0.070,1.090
95,0.047,-0.051,1.027
96,0.082,-0.012,1.016
97,0.176,0.023,1.023
98,0.234,-0.129,1.141
99,0.223,-0.211,1.270
100,0.289,-0.133,1.082
101,0.352,-0.070,0.820
102,0.414,-0.207,1.184
103,0.422,-0.215,1.340
104,0.332,0.047,1.016
105,0.285,0.066,0.680
106,0.332,-0.215,1.137
107,0.363,-0.141,1.320
108,0.324,0.180,0.762
109,0.250,0.109,0.793
110,0.367,-0.043,1.094
111,0.523,-0.062,1.301
