Sample,X,Y,Z
0,0.035,0.043,1.035
1,0.027,-0.051,1.016
2,0.039,-0.039,1.051
3,0.020,-0.031,1.066
4,0.016,-0.039,1.035
5,0.023,-0.055,1.016
6,0.031,-0.031,1.031
7,0.023,-0.035,1.066
8,0.020,-0.039,1.039
9,0.027,-0.051,1.039
10,0.027,-0.035,1.012
11,0.016,-0.039,1.043
12,0.023,-0.051,1.043
13,0.035,-0.047,1.039
14,0.020,-0.027,1.035
15,0.016,-0.043,1.039
16,0.027,-0.051,1.051
17,0.023,-0.059,1.047
18,0.020,-0.035,1.023
19,0.020,-0.039,1.031
20,0.031,-0.055,1.051
21,0.023,-0.043,1.035
22,0.020,-0.027,1.031
23,0.020,-0.035,1.031
24,0.004,-0.047,1.133
25,0.027,-0.027,1.066
26,0.012,-0.059,1.043
27,0.035,-0.055,0.988
28,0.055,-0.047,1.133
29,0.055,-0.035,0.977
30,0.031,-0.047,1.016
31,0.023,-0.035,1.027
32,0.020,-0.035,1.039
33,0.020,-0.051,1.055
34,0.023,-0.039,1.035
35,0.027,-0.039,1.039
36,0.016,-0.031,1.043
37,0.027,-0.043,1.043
38,0.020,-0.051,1.039
39,0.027,-0.039,1.035
40,0.020,-0.035,1.039
41,0.031,-0.039,1.035
42,0.039,-0.059,1.055
43,0.016,-0.039,1.047
44,0.016,-0.031,1.039
45,0.031,-0.051,1.035
46,0.035,-0.039,1.035
47,0.020,-0.031,1.047
48,0.035,-0.027,1.023
49,0.027,-0.051,1.102
50,-0.031,-0.055,1.000
51,0.047,-0.043,1.035
52,0.051,-0.023,1.090
53,0.027,-0.027,0.973
54,0.000,-0.059,1.070
55,0.043,-0.043,1.035
56,0.031,-0.023,1.039
57,0.016,-0.043,1.051
58,0.016,-0.059,1.047
59,0.023,-0.043,1.039
60,0.020,-0.035,1.027
61,0.023,-0.043,1.051
62,0.016,-0.055,1.051
63,0.016,-0.043,1.039
64,0.027,-0.039,1.020
65,0.023,-0.043,1.051
66,0.020,-0.039,1.055
67,0.020,-0.055,1.035
68,0.027,-0.043,1.027
69,0.031,-0.027,1.039
70,0.027,-0.035,1.055
71,0.020,-0.055,1.062
72,0.020,-0.051,1.004
73,0.027,-0.047,1.109
74,0.039,-0.020,1.059
75,0.012,-0.047,1.062
76,-0.016,-0.078,1.016
77,0.035,-0.020,1.082
78,0.020,-0.027,1.055
79,0.023,-0.051,1.070
80,0.020,-0.051,1.031
81,0.016,-0.043,1.023
82,0.035,-0.035,1.012
83,0.039,-0.043,1.070
84,0.027,-0.047,1.051
85,0.016,-0.043,1.020
86,0.023,-0.043,1.027
87,0.039,-0.047,1.059
88,0.039,-0.055,1.043
89,0.016,-0.031,1.035
90,0.020,-0.031,0.996
91,0.031,-0.023,1.090
92,0.035,0.043,1.098
93,0.020,0.062,1.027
94,-0.008,0.043,1.055
95,-0.008,0.102,1.156
96,0.027,0.227,1.219
97,0.047,0.281,1.078
98,-0.004,0.230,1.086
99,-0.078,0.305,1.043
100,0.062,0.387,1.020
101,0.090,0.254,1.227
102,-0.016,0.141,1.059
103,-0.102,0.180,0.961
104,-0.047,0.336,0.879
105,0.008,0.203,1.129
106,-0.102,0.047,1.215
107,-0.207,0.289,0.898
108,-0.105,0.441,0.844
109,-0.016,0.191,1.133
110,-0.059,0.027,1.203
111,-0.145,0.262,1.000
112,-0.004,0.520,0.840
113,0.152,0.297,1.109
114,0.035,0.078,1.211
115,-0.047,0.285,0.957
116,0.172,0.551,0.965
117,0.312,0.449,1.070
118,0.195,0.082,1.133
119,0.039,0.180,1.059
120,0.238,0.559,0.879
121,0.352,0.504,1.125
122,0.090,0.254,0.977
123,-0.086,0.238,1.055
124,0.008,0.570,0.926
125,0.098,0.574,1.098
126,0.055,0.324,1.234
127,-0.082,0.266,1.098
128,-0.105,0.547,0.906
129,0.039,0.648,1.039
130,-0.008,0.461,1.086
131,-0.156,0.352,1.004
132,-0.203,0.508,0.879
133,-0.129,0.566,0.984
134,-0.074,0.441,1.066
135,-0.086,0.328,0.918
136,-0.078,0.441,0.965
137,-0.023,0.582,1.074
138,-0.062,0.477,1.078
139,-0.133,0.340,1.008
140,-0.164,0.352,1.082
141,-0.004,0.504,1.148
142,0.082,0.539,1.223
143,0.031,0.488,1.016
144,-0.113,0.387,1.133
145,0.051,0.492,1.238
146,0.359,0.531,1.109
147,0.234,0.473,0.988
148,-0.102,0.453,0.711
149,-0.059,0.469,0.867
150,0.273,0.523,1.129
151,0.496,0.543,1.051
152,0.234,0.492,0.883
153,-0.070,0.480,0.656
154,-0.195,0.445,1.188
155,0.363,0.469,1.176
156,0.250,0.391,0.875
157,-0.301,0.359,0.969
158,-0.504,0.520,1.047
159,0.238,0.363,1.484
160,0.555,0.395,1.141
161,-0.406,0.539,0.895
162,-0.770,0.555,1.234
163,0.234,0.395,1.457
164,0.496,0.375,1.070
165,-0.480,0.613,0.738
166,-0.781,0.586,0.727
167,0.250,0.191,1.379
168,0.379,0.320,1.039
169,-0.457,0.672,0.555
170,-0.461,0.559,0.777
171,0.273,0.082,1.406
172,0.707,0.176,1.215
173,-0.062,0.559,0.617
174,-0.332,0.441,1.000
175,0.363,0.234,1.457
176,0.637,0.266,1.176
177,0.016,0.418,1.090
178,-0.348,0.434,0.574
179,0.102,0.082,1.348
180,0.406,0.238,1.406
181,-0.055,0.473,0.906
182,-0.445,0.289,0.852
183,0.105,-0.082,1.391
184,0.352,0.219,0.996
185,-0.078,0.523,0.574
186,-0.426,0.414,0.750
187,0.043,0.043,1.215
188,0.258,0.105,1.305
189,-0.023,0.656,0.770
190,-0.488,0.492,0.543
191,-0.086,-0.094,1.418
192,0.281,0.047,1.668
193,-0.027,0.562,0.539
194,-0.301,0.328,1.070
195,0.035,-0.125,1.117
196,0.383,-0.266,1.633
197,0.078,0.277,0.688
198,-0.320,0.254,0.676
199,-0.203,-0.117,1.309
200,0.453,-0.164,1.559
201,0.199,0.250,0.652
202,-0.191,0.121,0.965
203,-0.129,0.043,0.801
204,0.391,-0.109,1.473
205,0.449,0.246,0.836
206,-0.145,0.234,0.527
207,-0.391,-0.184,1.004
208,0.223,-0.160,1.340
209,0.430,0.164,1.152
210,0.125,0.285,0.551
211,-0.449,-0.094,1.086
212,0.098,-0.238,1.500
213,0.379,0.008,1.500
214,-0.117,0.395,0.648
215,-0.402,0.035,0.496
216,-0.094,-0.438,1.398
217,0.477,-0.016,1.488
218,0.105,0.344,0.754
219,-0.582,0.000,0.523
220,-0.070,-0.410,1.270
221,0.293,-0.168,1.664
222,0.047,0.492,0.703
223,-0.332,0.270,0.434
224,-0.059,-0.500,1.266
225,0.398,-0.422,1.797
226,0.152,0.480,0.570
227,-0.297,0.262,0.375
228,-0.012,-0.461,1.285
229,0.461,-0.500,1.637
230,0.062,0.234,0.629
231,-0.348,0.250,0.375
232,0.043,-0.457,1.465
233,0.508,-0.391,1.793
234,0.121,0.266,0.512
235,-0.414,0.191,0.789
236,0.027,-0.227,1.207
237,0.418,-0.348,1.488
238,0.020,0.172,0.422
239,-0.305,0.223,0.688
240,0.109,-0.188,0.980
241,0.492,-0.539,1.293
242,0.055,0.074,1.035
243,-0.348,0.559,0.480
244,-0.062,-0.207,1.199
245,0.344,-0.445,1.559
246,-0.090,0.215,0.836
247,-0.188,0.402,0.812
248,0.117,0.023,1.000
249,0.012,-0.348,1.238
250,-0.031,-0.062,1.078
251,-0.051,0.199,0.926
252,-0.188,0.102,0.949
253,0.227,-0.312,1.383
254,0.164,-0.172,1.270
255,-0.113,0.121,0.926
256,-0.137,0.070,0.938
257,0.031,-0.156,0.996
258,0.188,-0.207,1.336
259,0.117,0.293,0.543
260,-0.215,0.133,0.496
261,0.176,-0.445,1.340
262,0.383,-0.406,1.559
263,-0.094,0.070,0.621
264,-0.027,-0.035,0.855
265,0.113,-0.297,1.078
266,0.090,-0.395,1.320
267,-0.090,0.195,0.906
268,0.215,0.246,0.980
269,0.098,-0.145,1.371
270,-0.016,-0.145,1.156
271,-0.016,0.164,0.840
272,-0.016,0.152,0.836
273,0.066,-0.141,1.195
274,0.008,-0.125,1.453
275,-0.012,0.227,0.547
276,0.012,0.062,0.879
277,0.023,-0.023,0.848
278,-0.031,-0.176,1.402
279,0.027,0.172,0.664
280,-0.078,0.211,0.938
281,-0.062,0.055,0.891
282,-0.008,-0.184,1.230
283,-0.133,-0.066,1.059
284,-0.070,0.090,0.875
285,0.121,-0.031,0.918
286,0.078,-0.406,1.469
287,-0.020,-0.203,1.094
288,0.012,-0.059,1.211
289,0.090,-0.082,1.215
290,-0.062,-0.270,1.074
291,0.047,-0.250,1.207
292,0.043,0.145,0.957
293,0.262,0.145,0.824
294,0.215,-0.219,1.090
295,0.211,-0.379,1.008
296,-0.121,-0.129,0.957
297,0.039,0.125,0.859
298,-0.043,-0.062,0.758
299,0.098,-0.348,1.016
300,0.094,-0.160,1.164
301,-0.055,0.234,1.250
302,0.191,0.324,1.027
303,0.250,0.008,0.953
304,-0.012,-0.098,1.148
305,-0.332,0.160,0.965
306,0.207,0.277,1.191
307,0.180,0.113,1.086
308,-0.148,0.004,0.934
309,-0.227,0.035,0.961
310,-0.039,-0.086,1.438
311,0.172,0.055,0.910
312,0.109,-0.039,1.078
313,-0.285,-0.086,0.926
314,-0.086,-0.031,0.922
315,-0.023,-0.047,1.023
316,0.051,-0.098,0.836
317,0.133,-0.184,0.926
318,0.086,-0.184,1.199
319,0.000,-0.031,1.004
320,0.152,-0.055,0.719
321,-0.078,-0.348,1.266
322,-0.027,-0.250,1.418
323,-0.062,-0.043,0.938
324,0.188,-0.094,0.871
325,0.102,-0.242,1.285
326,-0.043,-0.059,1.273
327,0.203,0.090,0.945
328,-0.008,-0.047,1.234
329,0.332,0.070,0.777
330,-0.109,-0.133,1.117
331,-0.250,-0.020,0.965
332,0.016,0.176,0.617
333,0.199,-0.043,1.164
334,0.031,0.043,1.102
335,-0.133,0.152,0.824
336,-0.047,0.020,1.172
337,0.289,0.027,1.102
338,-0.156,0.055,0.828
339,-0.129,0.129,1.102
340,0.113,0.219,1.086
341,0.133,0.055,1.008
342,0.020,-0.117,1.090
343,-0.109,-0.051,1.082
344,0.004,0.062,1.062
345,0.109,-0.043,1.000
346,0.035,-0.289,1.555
347,-0.113,-0.219,1.137
348,0.094,-0.113,0.957
349,0.254,-0.051,0.527
350,0.008,-0.320,1.293
351,-0.156,-0.117,1.055
352,0.059,-0.082,0.859
353,0.211,-0.203,0.832
354,-0.027,-0.246,0.965
355,-0.125,-0.164,1.246
356,0.062,0.055,0.934
357,0.230,0.027,0.887
358,0.199,-0.133,1.293
359,-0.234,-0.191,1.195
360,-0.012,0.070,0.918
361,0.094,0.176,1.039
362,0.172,0.113,1.059
363,-0.074,-0.039,1.035
364,-0.059,0.027,1.094
365,0.102,0.258,1.262
366,0.043,0.176,1.098
367,-0.238,-0.121,0.973
368,-0.102,-0.055,1.062
369,0.027,0.270,1.121
370,0.227,0.395,0.926
371,-0.121,0.020,0.691
372,-0.254,-0.352,1.340
373,0.098,0.062,1.074
374,0.328,0.223,0.570
375,-0.047,-0.320,1.074
376,-0.207,-0.484,1.504
377,-0.023,-0.117,0.875
378,0.309,-0.035,0.867
379,0.316,-0.270,1.273
380,0.000,-0.352,1.395
381,0.055,-0.090,0.789
382,-0.039,-0.004,0.832
383,0.164,-0.215,1.109
384,-0.027,-0.383,1.215
385,0.152,-0.043,0.785
386,0.066,0.082,0.758
387,0.066,-0.008,1.102
388,-0.078,-0.199,1.285
389,0.016,-0.164,0.891
390,0.160,0.125,0.852
391,0.059,0.105,1.250
392,-0.086,0.164,1.016
393,-0.227,0.184,0.938
394,0.098,0.211,0.820
