Sample,X,Y,Z
0,0.047,0.047,1.035
1,0.012,-0.059,1.047
2,0.020,-0.043,1.031
3,0.023,-0.027,1.043
4,0.027,-0.035,1.047
5,0.016,-0.047,1.031
6,0.020,-0.043,1.027
7,0.039,-0.031,1.043
8,0.027,-0.027,1.043
9,0.020,-0.043,1.027
10,0.020,-0.051,1.031
11,0.031,-0.031,1.035
12,0.023,-0.035,1.039
13,0.016,-0.043,1.035
14,0.031,-0.043,1.031
15,0.020,-0.027,1.035
16,0.016,-0.031,1.035
17,0.020,-0.047,1.043
18,0.020,-0.035,1.035
19,0.031,-0.035,1.039
20,0.016,-0.031,1.035
21,0.012,-0.043,1.027
22,0.023,-0.035,1.031
23,0.031,-0.031,1.031
24,0.059,-0.027,1.004
25,0.039,-0.016,1.074
26,0.004,-0.051,1.016
27,0.043,-0.027,1.027
28,0.047,-0.039,1.004
29,0.016,-0.055,1.008
30,0.008,-0.039,1.023
31,0.027,-0.039,1.035
32,0.027,-0.027,1.035
33,0.008,-0.035,1.035
34,0.016,-0.051,1.043
35,0.027,-0.039,1.031
36,0.031,-0.027,1.043
37,0.023,-0.031,1.035
38,0.020,-0.047,1.031
39,0.023,-0.043,1.039
40,0.020,-0.023,1.031
41,0.023,-0.031,1.039
42,0.023,-0.031,1.039
43,0.031,-0.039,1.023
44,0.020,-0.039,1.051
45,0.016,-0.027,1.031
46,0.012,-0.031,1.035
47,0.020,-0.043,1.039
48,0.020,-0.035,1.031
49,0.051,-0.020,1.004
50,0.035,-0.043,1.070
51,-0.004,-0.059,1.004
52,0.066,-0.035,1.074
53,0.023,-0.027,1.000
54,-0.004,-0.047,1.020
55,0.023,-0.047,1.004
56,0.023,-0.043,1.023
57,0.020,-0.020,1.023
58,0.016,-0.031,1.043
59,0.031,-0.051,1.051
60,0.020,-0.043,1.027
61,0.016,-0.031,1.039
62,0.023,-0.031,1.039
63,0.020,-0.047,1.039
64,0.023,-0.039,1.035
65,0.027,-0.031,1.031
66,0.023,-0.039,1.035
67,0.016,-0.035,1.051
68,0.023,-0.043,1.039
69,0.035,-0.035,1.027
70,0.020,-0.035,1.031
71,0.012,-0.047,1.043
72,0.012,-0.047,1.023
73,0.023,-0.031,1.047
74,0.039,-0.012,1.051
75,-0.035,-0.047,1.051
76,0.012,-0.059,1.055
77,0.059,-0.023,1.016
78,0.035,-0.020,1.000
79,0.023,-0.023,1.043
80,0.004,-0.051,1.051
81,0.020,-0.051,1.023
82,0.031,-0.031,1.035
83,0.020,-0.027,1.031
84,0.012,-0.047,1.043
85,0.012,-0.062,1.043
86,0.027,-0.031,1.020
87,0.031,-0.016,1.035
88,0.020,-0.043,1.039
89,0.016,-0.055,1.051
