Sample,X,Y,Z
0,0.008,0.195,1.109
1,0.020,-0.039,1.031
2,0.016,-0.023,1.047
3,0.008,-0.027,1.035
4,0.020,-0.047,1.035
5,0.020,-0.043,1.023
6,0.023,-0.027,1.039
7,0.027,-0.027,1.035
8,0.020,-0.043,1.035
9,0.023,-0.047,1.039
10,0.023,-0.020,1.031
11,0.012,-0.020,1.047
12,0.016,-0.039,1.043
13,0.023,-0.035,1.027
14,0.020,-0.031,1.031
15,0.016,-0.027,1.039
16,0.016,-0.039,1.047
17,0.023,-0.047,1.031
18,0.023,-0.035,1.020
19,0.020,-0.023,1.047
20,0.008,-0.039,1.047
21,0.016,-0.062,1.051
22,0.020,-0.035,1.012
23,0.027,-0.016,1.035
24,0.020,-0.031,1.000
25,0.004,-0.039,1.066
26,0.035,-0.031,1.098
27,-0.004,-0.035,0.992
28,0.051,-0.023,1.121
29,0.035,-0.039,1.035
30,0.012,-0.039,1.016
31,0.023,-0.035,1.027
32,0.027,-0.020,1.043
33,0.016,-0.039,1.035
34,0.016,-0.051,1.035
35,0.023,-0.031,1.020
36,0.020,-0.020,1.043
37,0.004,-0.031,1.043
38,0.008,-0.043,1.023
39,0.023,-0.039,1.020
40,0.031,-0.027,1.043
41,0.012,-0.035,1.047
42,0.008,-0.055,1.039
43,0.016,-0.039,1.020
44,0.035,-0.027,1.047
45,0.020,-0.027,1.039
46,0.020,-0.027,1.039
47,0.008,-0.039,1.031
48,0.023,-0.055,1.023
49,0.012,-0.020,1.094
50,0.062,-0.008,1.113
51,0.023,-0.051,1.070
52,-0.008,-0.039,0.988
53,0.047,-0.023,1.070
54,0.035,-0.020,1.090
55,0.023,-0.031,1.016
56,0.020,-0.043,1.027
57,0.031,-0.043,1.023
58,0.027,-0.023,1.047
59,0.008,-0.035,1.047
60,0.012,-0.051,1.031
61,0.016,-0.039,1.035
62,0.027,-0.020,1.039
63,0.016,-0.031,1.039
64,0.012,-0.043,1.039
65,0.020,-0.043,1.035
66,0.023,-0.031,1.035
67,0.020,-0.027,1.039
68,0.012,-0.043,1.043
69,0.023,-0.043,1.035
70,0.020,-0.039,1.039
71,0.027,-0.027,1.043
