Sample,X,Y,Z
0,0.012,0.027,1.047
1,0.020,-0.043,1.039
2,0.027,-0.055,1.047
3,0.020,-0.043,1.031
4,0.020,-0.027,1.016
5,0.020,-0.039,1.039
6,0.031,-0.059,1.059
7,0.031,-0.035,1.027
8,0.008,-0.027,1.027
9,0.016,-0.031,1.027
10,0.020,-0.055,1.047
11,0.027,-0.051,1.043
12,0.020,-0.027,1.023
13,0.020,-0.035,1.039
14,0.020,-0.043,1.047
15,0.023,-0.051,1.035
16,0.023,-0.035,1.031
17,0.016,-0.027,1.035
18,0.020,-0.035,1.031
19,0.023,-0.055,1.051
20,0.039,-0.035,1.039
21,0.027,-0.023,1.020
22,0.016,-0.031,1.031
23,0.016,-0.055,1.047
24,0.023,-0.031,1.125
25,0.031,-0.020,1.039
26,-0.004,-0.027,1.039
27,0.035,-0.047,1.055
28,0.035,-0.043,1.121
29,0.020,-0.031,0.961
30,0.020,-0.043,1.027
31,0.027,-0.039,1.039
32,0.027,-0.039,1.031
33,0.020,-0.043,1.035
34,0.016,-0.035,1.027
35,0.023,-0.039,1.043
36,0.031,-0.039,1.039
37,0.020,-0.039,1.031
38,0.020,-0.031,1.043
39,0.027,-0.031,1.039
40,0.020,-0.047,1.051
41,0.016,-0.035,1.027
42,0.016,-0.035,1.027
43,0.012,-0.031,1.035
44,0.031,-0.031,1.055
45,0.016,-0.035,1.027
46,0.012,-0.047,1.023
47,0.023,-0.035,1.035
48,0.023,-0.031,1.059
49,0.051,-0.031,1.027
50,0.031,-0.031,1.035
51,-0.027,-0.039,0.996
52,0.059,-0.047,1.055
53,0.035,-0.035,1.102
54,0.004,-0.051,1.004
55,0.023,-0.035,1.031
56,0.023,-0.043,1.051
57,0.020,-0.047,1.035
58,0.016,-0.039,1.023
59,0.023,-0.027,1.035
60,0.027,-0.043,1.055
61,0.016,-0.043,1.035
62,0.012,-0.039,1.016
63,0.027,-0.020,1.023
64,0.031,-0.035,1.055
65,0.027,-0.055,1.043
66,0.023,-0.047,1.023
67,0.023,-0.035,1.035
68,0.023,-0.020,1.039
69,0.020,-0.047,1.039
70,0.016,-0.055,1.027
71,0.020,-0.016,1.023
72,0.020,-0.031,1.105
73,0.043,-0.016,1.090
74,0.023,-0.047,1.023
75,-0.035,-0.039,1.016
76,0.051,-0.047,1.160
77,0.059,-0.062,1.004
78,0.023,-0.055,1.027
79,0.020,-0.016,1.031
80,0.031,-0.031,1.043
81,0.020,-0.055,1.043
82,0.020,-0.047,1.039
83,0.023,-0.027,1.016
84,0.035,-0.023,1.043
85,0.023,-0.047,1.043
86,0.016,-0.051,1.031
87,0.016,-0.035,1.031
88,0.027,-0.023,1.043
89,0.031,-0.043,1.047
90,0.008,-0.047,1.035
91,0.012,-0.023,1.031
92,0.027,-0.031,1.031
93,0.031,-0.043,1.055
94,0.012,0.078,1.203
95,0.023,0.445,1.254
96,-0.012,0.598,1.137
97,-0.023,0.402,1.332
98,-0.062,0.539,1.426
99,-0.078,0.980,1.180
100,-0.039,1.176,0.664
101,-0.016,0.836,0.855
102,-0.023,0.590,1.414
103,-0.023,1.020,1.133
104,-0.035,1.172,0.609
105,-0.152,0.598,0.914
106,-0.184,0.277,1.340
107,-0.082,0.582,1.074
108,-0.047,0.805,0.449
109,-0.066,0.344,0.848
110,-0.074,-0.070,1.160
111,-0.078,0.148,1.031
112,-0.039,0.559,0.605
113,0.137,0.262,0.824
114,0.039,-0.195,1.504
115,0.008,0.164,1.195
116,0.090,0.598,0.859
117,0.309,0.410,1.121
118,0.219,0.055,1.703
119,0.129,0.426,1.383
120,0.121,0.871,0.945
121,0.188,0.699,1.012
122,0.090,0.277,1.270
123,0.031,0.574,1.180
124,0.086,1.062,0.660
125,0.113,0.863,0.562
126,0.016,0.344,0.961
127,-0.121,0.371,1.184
128,-0.078,0.945,0.652
129,0.008,0.953,0.531
130,-0.059,0.332,0.852
131,-0.238,0.180,1.277
132,-0.191,0.836,0.930
133,0.059,0.902,0.883
134,0.031,0.262,1.250
135,-0.281,-0.062,1.754
136,-0.184,0.551,1.262
137,-0.113,0.859,0.801
138,-0.023,0.246,1.195
139,-0.164,-0.168,1.664
140,-0.059,0.328,1.059
141,-0.180,0.500,0.535
142,0.094,0.152,0.699
143,0.121,-0.035,1.383
144,0.164,0.340,0.758
145,0.195,0.430,0.703
146,0.105,0.293,0.938
147,0.109,0.242,1.074
148,0.328,0.465,0.969
149,0.148,0.711,0.754
150,0.141,0.660,1.070
151,0.020,0.555,1.730
152,0.164,0.832,1.207
153,0.207,0.859,0.953
154,0.035,0.789,1.402
155,0.004,0.684,1.449
156,0.020,0.668,0.930
157,-0.121,0.777,0.602
158,-0.168,0.488,1.008
159,-0.215,0.316,1.082
160,-0.305,0.293,0.543
161,-0.262,0.340,0.562
162,0.199,0.465,0.703
163,-0.191,0.285,1.285
164,-0.297,0.270,0.891
165,-0.219,0.402,0.711
166,0.059,0.324,1.348
167,0.086,0.309,1.570
168,-0.113,0.508,0.719
169,0.035,0.477,1.242
170,0.363,0.445,1.629
171,-0.125,0.340,1.672
172,-0.062,0.348,1.258
173,0.164,0.602,1.199
174,0.266,0.621,1.258
175,0.137,0.340,1.012
176,-0.262,0.250,0.559
177,0.188,0.391,0.535
178,0.406,0.324,0.504
179,0.066,-0.055,0.301
180,-0.266,-0.262,0.719
181,0.098,0.121,0.578
182,0.461,0.008,0.719
183,0.066,-0.543,1.562
184,-0.324,-0.430,1.367
185,0.090,0.031,1.273
186,0.410,-0.008,1.352
187,0.121,-0.426,1.496
188,-0.520,-0.480,1.355
189,-0.023,-0.176,1.305
190,0.055,-0.066,0.926
191,-0.090,-0.551,1.512
192,-0.434,-0.504,1.273
193,-0.117,-0.047,0.730
194,0.039,0.070,0.543
195,-0.066,-0.336,1.148
196,-0.309,-0.277,1.164
197,0.031,0.184,0.711
198,0.211,0.516,0.273
199,-0.184,0.152,0.773
200,-0.078,-0.055,1.289
201,0.023,0.289,0.918
202,0.621,0.629,1.000
203,0.355,0.461,0.996
204,-0.148,-0.031,0.852
205,0.043,-0.141,1.387
206,0.340,0.383,1.004
207,0.332,0.383,0.848
208,0.078,-0.324,1.516
209,-0.148,-0.207,1.164
210,0.125,0.129,0.992
211,0.109,0.094,1.215
212,0.004,-0.293,0.969
213,-0.129,-0.562,1.109
214,0.082,-0.098,0.918
215,-0.027,0.094,1.004
216,-0.102,-0.367,0.738
217,-0.020,-0.875,1.133
218,-0.109,-0.309,0.859
219,-0.113,0.078,0.852
220,-0.133,-0.051,0.820
221,0.012,-0.461,1.469
222,-0.016,-0.266,1.426
223,0.047,0.219,1.203
224,0.102,0.176,0.898
225,-0.113,-0.305,1.422
226,-0.148,-0.035,1.320
227,0.348,0.426,1.020
228,0.109,0.363,1.043
229,-0.289,0.047,1.004
230,0.016,0.125,0.777
231,0.113,0.066,0.855
232,0.000,0.113,0.582
233,0.027,0.133,0.789
234,0.012,0.156,0.645
235,0.207,0.098,0.793
236,0.355,-0.004,0.891
237,0.051,-0.117,1.070
238,-0.117,0.000,1.121
239,0.000,0.098,1.152
240,0.242,-0.051,1.352
241,0.262,-0.301,1.520
242,-0.055,-0.188,1.359
243,-0.152,-0.039,1.223
244,0.059,-0.191,1.168
245,0.121,-0.492,1.242
246,-0.121,-0.344,0.754
247,-0.211,-0.102,1.094
248,0.004,0.004,0.980
249,0.004,-0.348,0.742
250,0.160,-0.457,0.883
251,-0.176,0.016,1.086
252,-0.227,0.426,0.758
253,-0.039,0.016,1.109
254,0.203,-0.262,0.930
255,0.121,-0.121,1.363
256,-0.098,0.445,0.980
257,0.051,0.531,0.703
258,0.051,0.531,0.703
259,0.137,-0.227,1.234
260,0.156,-0.250,1.262
261,-0.270,0.199,1.074
262,-0.035,0.449,0.934
263,0.277,0.051,0.969
264,0.270,-0.203,1.234
265,-0.070,0.039,0.945
266,-0.242,0.238,0.809
267,-0.180,-0.188,0.957
268,0.527,-0.348,1.340
269,0.145,-0.066,0.953
270,-0.234,0.055,0.836
271,-0.133,-0.016,1.035
272,0.191,-0.301,1.242
273,0.344,-0.324,0.875
274,-0.215,-0.152,0.770
275,-0.410,0.090,0.980
276,0.230,-0.031,1.094
277,0.594,-0.293,1.145
278,-0.121,-0.203,0.996
279,-0.473,0.121,1.160
280,0.148,0.086,1.301
281,0.562,-0.160,1.340
282,0.562,-0.160,1.340
283,-0.113,0.031,1.012
284,-0.688,0.219,0.945
285,0.043,0.246,0.926
286,0.824,0.031,1.219
287,0.031,-0.078,0.652
288,-0.711,-0.016,0.645
289,-0.254,0.094,0.879
290,0.605,-0.066,1.117
291,0.250,-0.105,0.582
292,-0.734,-0.094,0.727
293,-0.258,-0.152,1.582
294,0.770,0.055,1.480
295,0.402,0.176,0.789
296,-0.547,-0.090,1.039
297,-0.426,-0.223,1.719
298,0.621,-0.059,1.270
299,0.613,0.031,0.691
300,-0.660,-0.102,0.836
301,-0.277,-0.191,1.375
302,0.734,-0.156,1.164
303,0.535,-0.023,0.898
304,-0.668,-0.070,0.793
305,-0.375,-0.223,1.203
306,0.625,-0.234,1.020
307,0.543,0.188,0.684
308,-0.516,0.348,0.488
309,-0.434,-0.090,1.410
310,0.625,-0.348,1.320
311,0.336,0.078,1.109
312,-0.555,0.422,0.641
313,-0.211,-0.090,1.305
314,0.402,-0.387,1.195
315,0.234,0.082,0.652
316,-0.512,0.223,0.852
317,-0.094,-0.043,1.348
318,0.500,-0.191,1.094
319,0.098,-0.070,0.941
320,-0.621,0.293,0.762
321,-0.266,-0.090,1.359
322,0.352,-0.199,1.207
323,0.238,-0.059,0.992
324,-0.312,0.270,0.883
325,-0.137,-0.043,1.309
326,0.379,-0.180,1.348
327,0.016,-0.188,1.059
328,-0.133,0.137,0.566
329,-0.293,-0.008,0.793
330,0.398,-0.270,1.270
331,0.438,0.043,0.715
332,0.020,0.031,0.852
333,-0.250,0.066,0.781
334,0.152,-0.348,1.379
335,0.359,-0.184,1.086
336,0.031,0.164,0.781
337,-0.266,0.086,1.133
338,0.164,-0.203,1.156
339,0.398,-0.395,1.598
340,0.008,0.238,1.160
341,-0.492,0.340,0.641
342,0.047,-0.207,1.086
343,0.305,-0.359,1.277
344,-0.234,0.031,1.230
345,-0.223,0.355,0.340
346,0.113,-0.312,1.234
347,0.254,-0.258,1.066
348,-0.289,-0.152,1.047
349,-0.246,0.164,0.762
350,-0.059,0.043,0.945
351,0.227,-0.207,1.242
352,0.137,0.055,1.113
353,-0.086,0.176,0.781
354,-0.086,0.176,0.781
355,-0.055,0.105,1.129
356,0.359,-0.008,1.082
357,0.227,-0.020,0.801
358,-0.102,0.062,0.715
359,-0.051,0.043,0.992
360,0.164,-0.148,1.254
361,0.191,-0.215,1.156
362,-0.102,-0.023,1.043
363,-0.070,0.070,1.238
364,0.258,0.047,1.207
365,0.070,-0.082,0.902
366,-0.285,-0.281,1.172
367,-0.141,0.016,1.363
368,0.238,0.117,1.043
369,0.156,-0.090,0.660
370,-0.109,-0.383,0.750
371,-0.117,-0.285,1.277
372,0.055,0.078,0.977
373,0.031,0.043,0.625
374,-0.012,-0.305,1.086
375,-0.363,-0.246,1.117
376,-0.031,0.000,1.258
377,0.375,0.234,0.898
378,0.066,0.074,1.109
379,-0.031,-0.062,1.328
380,0.039,-0.039,1.324
381,0.062,0.102,1.016
382,0.164,0.176,1.145
383,-0.004,0.070,0.516
384,-0.102,-0.160,1.020
385,0.129,0.043,1.246
386,0.266,0.215,0.984
387,0.012,0.145,0.855
388,-0.004,0.062,0.586
389,0.008,-0.152,1.062
390,0.023,-0.004,0.996
391,-0.164,0.133,1.047
392,0.109,-0.047,1.043
393,0.227,-0.223,1.188
394,-0.137,-0.324,1.332
395,-0.102,-0.090,1.066
396,-0.098,-0.016,1.039
397,0.121,-0.238,1.160
398,-0.027,-0.332,1.047
399,-0.273,-0.172,1.277
400,0.113,0.074,0.750
401,0.152,-0.090,0.887
402,-0.016,-0.164,0.809
403,-0.098,-0.242,1.500
404,0.277,0.117,0.902
405,0.145,0.102,0.812
406,-0.211,-0.113,1.016
407,-0.242,-0.145,1.309
408,0.250,0.191,1.082
409,0.180,0.320,0.742
410,0.062,0.023,0.805
411,0.059,-0.117,1.332
412,0.078,0.133,1.066
413,0.180,0.281,0.742
414,-0.086,0.059,0.930
415,-0.035,-0.090,1.082
416,0.113,-0.023,1.230
417,0.188,0.223,0.879
418,-0.023,0.055,0.941
419,-0.070,-0.199,1.031
420,-0.090,-0.230,1.215
421,0.094,-0.031,1.020
422,0.008,-0.086,1.121
423,-0.020,-0.117,1.051
424,-0.074,-0.180,1.465
425,0.094,0.016,0.352
426,0.094,0.016,0.352
427,-0.172,-0.355,1.219
428,0.004,-0.195,1.348
429,-0.004,0.051,0.703
430,0.125,-0.090,0.703
431,-0.109,-0.250,1.148
432,-0.152,-0.145,1.137
433,0.066,-0.074,1.195
434,0.211,-0.016,1.094
435,0.027,0.016,0.695
436,-0.234,-0.062,1.297
437,0.125,0.168,1.352
438,0.172,0.148,0.770
439,0.059,0.062,0.910
440,-0.090,0.027,1.238
441,0.039,0.102,0.867
442,0.098,0.102,0.781
443,0.051,0.133,0.664
444,0.008,-0.027,1.535
445,0.258,0.051,1.102
446,0.121,-0.074,0.945
447,0.031,-0.160,0.934
448,0.094,-0.070,1.426
449,0.129,0.082,1.051
450,0.172,-0.129,0.918
451,0.043,-0.199,1.207
452,-0.145,0.004,1.277
453,0.008,0.230,0.438
454,-0.223,-0.172,0.715
455,-0.188,-0.418,1.332
456,-0.250,-0.160,1.238
457,0.102,-0.043,0.781
458,0.012,-0.207,0.930
459,-0.141,-0.320,1.309
460,0.055,-0.121,1.391
461,0.074,0.121,0.539
462,0.125,-0.117,1.016
463,-0.176,-0.234,1.406
464,-0.055,0.031,1.113
465,0.121,0.145,1.117
466,0.281,0.023,1.289
467,0.059,-0.012,0.793
468,0.109,0.020,1.215
469,0.062,0.332,0.820
470,0.141,0.262,0.684
471,0.102,0.020,1.148
472,0.051,-0.039,0.984
473,0.012,0.145,0.844
474,0.059,0.281,0.793
475,0.109,-0.020,1.020
476,0.047,-0.125,1.289
477,-0.035,-0.031,1.348
478,-0.062,-0.008,1.125
479,0.098,-0.070,0.762
480,-0.102,-0.266,1.367
481,-0.086,-0.141,1.363
482,0.000,-0.117,0.977
483,0.023,-0.219,0.867
484,-0.039,-0.180,1.035
485,-0.156,-0.094,0.719
486,-0.195,-0.258,0.871
487,0.129,-0.387,1.227
488,0.008,-0.184,1.207
489,-0.059,0.004,0.457
490,-0.078,-0.262,1.082
491,0.152,-0.230,1.484
492,0.285,-0.004,1.293
493,0.008,0.258,0.535
494,0.016,0.148,0.641
495,0.164,-0.078,1.352
496,0.219,0.105,1.281
497,0.047,0.379,0.781
498,-0.020,0.188,0.883
499,0.219,0.023,1.188
500,0.148,0.047,1.227
501,0.062,0.238,0.836
502,-0.102,0.148,1.031
503,0.078,-0.059,1.422
504,0.062,0.082,1.016
505,-0.078,0.129,1.078
506,-0.098,0.016,1.008
507,0.020,-0.105,1.047
508,-0.070,-0.059,0.984
509,-0.102,-0.008,0.770
510,-0.258,-0.156,0.840
511,0.070,-0.375,1.316
512,0.160,-0.359,1.336
513,-0.340,-0.133,0.781
514,-0.012,-0.102,0.676
515,0.215,-0.426,1.270
516,0.223,-0.387,1.348
517,-0.059,-0.086,0.980
518,-0.078,-0.098,0.809
519,0.168,-0.227,1.020
520,0.359,-0.160,1.379
521,0.047,-0.027,1.164
522,0.090,0.281,0.672
523,0.012,0.172,0.684
524,0.129,-0.031,1.219
525,-0.055,0.195,0.930
526,0.141,0.215,0.984
527,0.055,0.176,0.922
528,-0.043,0.211,0.867
529,-0.266,0.152,1.473
530,0.156,0.184,1.020
531,0.145,-0.004,1.070
532,-0.027,-0.086,1.332
533,-0.262,0.035,1.492
534,-0.086,0.109,0.754
535,0.180,-0.289,1.102
536,-0.070,-0.277,1.180
537,-0.113,0.137,0.953
538,-0.219,0.156,0.500
539,0.008,-0.375,0.941
