Sample,X,Y,Z
0,0.012,0.199,1.051
1,0.023,-0.039,1.031
2,0.023,-0.043,1.043
3,0.020,-0.027,1.039
4,0.012,-0.043,1.039
5,0.012,-0.039,1.039
6,0.020,-0.043,1.035
7,0.020,-0.043,1.043
8,0.016,-0.031,1.027
9,0.016,-0.043,1.035
10,0.027,-0.039,1.035
11,0.020,-0.031,1.043
12,0.012,-0.035,1.039
13,0.023,-0.043,1.039
14,0.027,-0.035,1.039
15,0.027,-0.039,1.023
16,0.016,-0.039,1.039
17,0.012,-0.039,1.039
18,0.012,-0.039,1.039
19,0.020,-0.039,1.043
20,0.023,-0.031,1.023
21,0.023,-0.027,1.043
22,0.004,-0.047,1.039
23,0.031,-0.055,1.039
24,0.027,-0.043,1.035
25,0.039,-0.031,0.988
26,0.031,-0.016,1.043
27,-0.012,-0.051,1.016
28,0.039,-0.051,1.039
29,0.051,-0.031,1.102
30,0.004,-0.039,0.977
31,0.023,-0.055,1.027
32,0.020,-0.047,1.051
33,0.016,-0.031,1.035
34,0.020,-0.035,1.051
35,0.020,-0.031,1.039
36,0.016,-0.043,1.039
37,0.012,-0.039,1.035
38,0.023,-0.047,1.039
39,0.027,-0.039,1.039
40,0.020,-0.039,1.031
41,0.012,-0.035,1.043
42,0.012,-0.035,1.043
43,0.020,-0.039,1.043
44,0.023,-0.043,1.043
45,0.027,-0.047,1.047
46,0.020,-0.035,1.027
47,0.012,-0.039,1.039
48,0.016,-0.039,1.039
49,0.016,-0.039,1.105
50,0.039,-0.008,1.082
51,-0.008,-0.043,0.973
52,0.023,-0.035,1.035
53,0.051,-0.027,1.078
54,0.012,-0.031,1.000
55,-0.004,-0.035,1.035
56,0.016,-0.035,1.035
57,0.020,-0.031,1.047
58,0.016,-0.039,1.047
59,0.020,-0.039,1.039
60,0.020,-0.035,1.031
61,0.023,-0.039,1.039
62,0.020,-0.035,1.031
63,0.020,-0.043,1.039
64,0.023,-0.043,1.039
65,0.027,-0.031,1.035
66,0.020,-0.039,1.043
67,0.023,-0.039,1.039
68,0.023,-0.031,1.027
69,0.020,-0.035,1.051
70,0.016,-0.035,1.043
71,0.031,-0.031,1.035
72,0.004,-0.027,1.094
73,0.023,-0.016,1.105
74,0.008,-0.055,1.027
75,0.012,-0.051,1.027
76,0.055,-0.027,1.129
77,0.043,-0.039,0.996
78,-0.008,-0.055,1.055
79,0.012,-0.039,1.039
80,0.027,-0.043,1.035
81,0.020,-0.027,1.031
82,0.012,-0.035,1.047
83,0.012,-0.047,1.039
84,0.027,-0.035,1.027
85,0.027,-0.039,1.031
86,0.016,-0.035,1.051
87,0.008,-0.043,1.039
88,0.023,-0.039,1.031
89,0.031,-0.035,1.023
90,0.031,-0.035,1.023
91,0.016,-0.031,1.047
92,0.008,-0.043,1.043
93,0.016,-0.035,1.023
94,0.039,-0.043,1.035
95,0.031,-0.031,1.035
96,0.012,-0.039,1.043
97,0.059,-0.043,0.996
98,0.055,-0.051,1.031
99,-0.043,-0.035,0.949
100,0.016,-0.031,1.094
101,0.016,-0.047,1.051
102,-0.004,-0.070,0.961
103,0.043,-0.031,1.000
104,0.098,-0.023,1.027
105,0.066,-0.004,1.016
106,0.012,-0.020,1.000
107,0.016,-0.070,1.102
108,0.227,-0.078,1.121
109,0.496,-0.137,1.172
110,0.430,-0.262,0.996
111,0.316,-0.352,1.238
112,0.547,-0.125,1.164
113,0.773,-0.035,0.980
114,0.773,-0.035,0.980
115,0.547,-0.199,0.980
116,0.363,-0.266,1.195
117,0.617,-0.066,1.074
118,0.797,0.090,0.922
119,0.422,0.027,0.906
120,0.090,-0.066,1.082
121,0.430,0.180,0.891
122,0.734,0.281,0.852
123,0.273,0.156,0.816
124,-0.078,0.137,1.066
125,0.203,0.305,0.906
126,0.645,0.242,0.934
127,0.539,0.129,1.129
128,0.004,0.086,1.191
129,0.168,0.184,1.141
130,0.766,0.152,1.184
131,0.656,-0.082,1.320
132,0.258,-0.152,1.309
133,0.344,-0.070,1.051
134,0.703,-0.086,0.992
135,0.602,-0.238,1.066
136,0.277,-0.312,1.078
137,0.398,-0.191,0.820
138,0.703,-0.125,0.801
139,0.594,-0.230,0.766
140,0.375,-0.348,1.020
141,0.562,-0.230,1.031
142,0.887,-0.004,0.816
143,0.781,-0.035,0.797
144,0.523,-0.203,1.137
145,0.590,-0.184,1.289
146,0.957,0.113,1.043
147,0.898,0.262,0.984
148,0.379,0.109,1.191
149,0.309,0.020,1.387
150,0.770,0.223,1.051
151,0.730,0.305,0.812
152,0.258,0.121,1.258
153,0.207,0.137,1.223
154,0.418,0.234,0.809
155,0.473,0.184,0.762
156,0.441,0.004,1.211
157,0.434,0.066,1.211
158,0.297,0.254,0.566
159,0.324,0.039,0.758
160,0.699,-0.266,1.523
161,0.785,-0.188,1.336
162,0.410,0.137,0.457
163,0.398,-0.086,0.609
164,0.883,-0.578,1.660
165,0.844,-0.406,1.453
166,0.562,0.105,0.660
167,0.535,-0.117,0.828
168,0.703,-0.480,1.500
169,0.547,-0.359,1.293
170,0.602,0.176,0.660
171,0.562,0.211,0.520
172,0.520,-0.242,1.301
173,0.562,-0.062,1.441
174,0.449,0.324,0.562
175,0.512,0.270,0.602
176,0.410,-0.062,1.480
177,0.496,0.102,1.406
178,0.398,0.508,0.227
179,0.527,0.129,0.809
180,0.719,-0.188,1.883
181,0.352,0.133,1.289
182,0.188,0.414,0.391
183,0.391,-0.047,1.094
184,0.609,-0.379,1.734
185,0.242,0.039,1.148
186,0.207,0.324,0.484
187,0.535,-0.070,0.781
188,0.520,-0.523,1.738
189,0.270,-0.055,1.184
190,0.273,0.152,0.359
191,0.562,-0.312,0.828
192,0.602,-0.551,1.656
193,0.465,-0.184,1.172
194,0.277,0.266,-0.008
195,0.426,-0.188,0.793
196,0.473,-0.422,1.695
197,0.383,-0.168,1.406
198,0.211,0.332,0.375
199,0.273,-0.078,0.902
200,0.242,-0.199,1.684
201,0.125,0.164,1.238
202,0.180,0.277,0.629
203,0.293,-0.074,1.316
204,0.371,-0.145,1.758
205,0.020,0.375,0.824
206,-0.105,0.285,0.500
207,0.051,-0.027,1.094
208,0.242,-0.109,1.402
209,-0.168,0.367,0.551
210,-0.086,0.258,0.391
211,0.102,-0.188,1.238
212,0.105,-0.184,1.340
213,-0.004,0.027,0.719
214,0.070,-0.047,1.047
215,0.367,-0.188,1.293
216,0.352,-0.254,1.414
217,0.234,-0.133,1.039
218,0.168,-0.246,1.305
219,0.254,-0.203,1.293
220,0.152,-0.012,0.879
221,0.066,-0.273,1.031
222,-0.047,-0.281,1.027
223,0.184,-0.125,0.996
224,-0.098,0.012,0.531
225,-0.199,-0.094,0.668
226,-0.043,-0.270,1.477
227,0.246,-0.031,1.016
228,-0.055,0.195,0.398
229,-0.355,0.020,0.895
230,-0.023,-0.027,1.535
231,0.312,0.184,1.352
232,0.148,0.363,0.742
233,-0.207,0.121,1.066
234,-0.023,-0.043,1.691
235,0.203,-0.027,1.477
236,-0.023,0.176,0.570
237,-0.367,0.180,0.902
238,0.043,0.082,0.980
239,0.301,-0.137,1.020
240,-0.117,-0.066,0.844
241,-0.152,0.027,0.793
242,0.125,-0.133,1.293
243,0.137,-0.105,0.812
244,-0.133,-0.336,0.992
245,-0.020,-0.227,1.223
246,0.273,0.020,1.090
247,0.215,-0.227,1.113
248,-0.102,-0.391,1.008
249,-0.020,-0.359,1.430
250,0.145,0.062,0.918
251,0.055,0.027,0.691
252,-0.125,-0.316,1.125
253,-0.055,-0.195,1.141
254,0.211,0.141,0.898
255,0.141,0.254,0.824
256,-0.266,-0.023,1.035
257,-0.164,-0.078,1.160
258,0.477,0.051,1.461
259,0.453,0.258,1.195
260,-0.387,0.273,0.566
261,-0.445,-0.062,1.180
262,0.215,0.004,1.453
263,0.375,0.418,0.703
264,-0.387,0.258,0.363
265,-0.348,-0.273,1.359
266,0.129,-0.160,1.383
267,0.336,0.133,0.867
268,-0.012,0.082,0.633
269,-0.230,-0.355,1.262
270,0.098,-0.391,1.449
271,0.258,0.000,1.082
272,0.066,0.125,0.629
273,-0.121,-0.199,0.992
274,-0.016,-0.477,1.367
275,0.223,-0.289,1.352
276,0.113,0.066,0.734
277,-0.066,0.008,0.645
278,-0.266,-0.328,1.078
279,0.262,-0.320,1.488
280,0.508,0.125,0.676
281,-0.070,0.180,0.379
282,-0.410,-0.129,1.297
283,0.125,-0.188,1.750
284,0.488,0.293,0.738
285,-0.160,0.332,0.426
286,-0.160,0.332,0.426
287,-0.605,0.012,1.496
288,0.098,-0.074,1.801
289,0.535,0.207,0.840
290,-0.074,0.270,0.406
291,-0.523,-0.027,1.312
292,-0.172,-0.012,1.441
293,0.578,0.145,0.695
294,0.148,-0.043,0.434
295,-0.465,-0.258,1.320
296,-0.262,-0.066,1.418
297,0.480,0.102,0.625
298,0.355,-0.230,0.664
299,-0.324,-0.266,1.336
300,-0.215,-0.184,1.594
301,0.352,-0.070,0.805
302,0.430,-0.121,0.582
303,-0.086,-0.312,1.547
304,-0.172,-0.008,1.379
305,0.168,0.121,0.516
306,0.477,-0.168,0.562
307,0.074,-0.352,1.469
308,-0.492,0.047,1.363
309,-0.246,0.254,0.426
310,0.473,-0.105,0.645
311,0.180,-0.371,1.574
312,-0.285,0.055,1.508
313,-0.098,0.328,0.668
314,0.289,0.086,0.605
315,0.113,-0.258,1.488
316,-0.203,-0.031,1.738
317,0.035,0.238,0.824
318,0.125,0.281,0.027
319,-0.156,-0.234,1.293
320,-0.219,-0.145,1.754
321,0.246,0.121,0.922
322,0.121,0.199,0.078
323,-0.289,-0.207,1.035
324,-0.262,-0.223,1.680
325,0.430,-0.023,1.051
326,0.410,0.199,0.359
327,-0.098,-0.105,0.957
328,-0.211,-0.379,1.766
329,0.203,-0.160,1.230
330,0.453,0.090,0.406
331,0.047,-0.176,1.090
332,-0.289,-0.324,1.551
333,0.094,-0.113,1.043
334,0.367,0.172,0.516
335,-0.098,0.098,0.820
336,-0.438,-0.117,1.344
337,0.172,-0.180,1.219
338,0.379,0.004,0.953
339,-0.211,0.270,0.594
340,-0.246,-0.027,1.523
341,0.168,-0.137,1.484
342,0.098,0.039,0.820
343,-0.074,0.094,1.125
344,0.086,0.023,1.215
345,0.117,-0.047,1.000
346,-0.102,0.164,0.531
347,-0.152,0.047,0.934
348,-0.008,-0.152,1.148
349,0.035,-0.203,0.988
350,-0.023,-0.113,0.855
351,0.012,0.039,1.016
352,-0.039,0.027,0.980
353,0.086,-0.305,1.262
354,0.109,-0.219,1.098
355,0.188,-0.074,1.375
356,0.145,0.160,0.867
357,0.090,-0.246,1.367
358,-0.039,-0.285,1.398
359,-0.039,0.051,0.770
360,0.094,0.188,0.562
361,-0.031,-0.059,1.008
362,-0.141,-0.168,1.164
363,0.039,0.012,0.891
364,0.098,0.199,0.516
365,-0.121,-0.035,1.141
366,-0.098,-0.199,1.562
367,0.234,0.164,0.930
368,0.188,0.145,0.750
369,-0.074,-0.145,1.316
370,0.043,-0.207,1.656
371,0.324,0.039,1.262
372,-0.051,0.215,0.672
373,-0.215,0.055,0.848
374,-0.070,-0.262,1.328
375,0.152,-0.066,0.953
376,-0.148,0.129,0.477
377,-0.262,-0.090,0.969
378,0.180,-0.164,1.184
379,0.191,-0.199,1.199
380,-0.172,0.117,0.645
381,-0.145,0.074,0.750
382,0.281,-0.281,1.539
383,0.211,-0.148,1.312
384,0.082,0.129,0.895
385,0.203,-0.035,1.184
386,0.113,-0.215,1.270
387,-0.023,-0.074,1.082
388,0.074,0.023,0.953
389,0.160,0.117,0.594
390,-0.148,-0.191,1.219
391,-0.234,0.000,1.031
392,0.203,-0.008,0.969
393,0.020,-0.059,0.969
394,-0.281,0.031,1.008
395,-0.078,-0.078,1.332
396,0.391,0.027,0.918
397,-0.086,0.020,0.941
