Sample,X,Y,Z
0,0.020,0.023,1.066
1,0.016,-0.039,1.035
2,0.027,-0.043,1.043
3,0.020,-0.047,1.039
4,0.016,-0.047,1.023
5,0.023,-0.039,1.035
6,0.031,-0.039,1.039
7,0.020,-0.051,1.051
8,0.012,-0.039,1.023
9,0.023,-0.035,1.031
10,0.035,-0.020,1.039
11,0.023,-0.039,1.043
12,0.016,-0.043,1.020
13,0.016,-0.043,1.031
14,0.027,-0.043,1.047
15,0.035,-0.035,1.039
16,0.012,-0.047,1.031
17,0.020,-0.039,1.023
18,0.027,-0.027,1.043
19,0.031,-0.039,1.039
20,0.020,-0.043,1.031
21,0.023,-0.031,1.035
22,0.027,-0.035,1.047
23,0.023,-0.043,1.035
24,-0.012,-0.031,1.070
25,0.023,-0.016,1.074
26,0.020,-0.055,1.031
27,-0.008,-0.062,1.004
28,0.055,-0.043,1.121
29,0.039,-0.035,0.906
30,0.035,-0.031,1.031
31,0.027,-0.035,1.035
32,0.016,-0.043,1.039
33,0.016,-0.043,1.043
34,0.027,-0.039,1.039
35,0.035,-0.035,1.039
36,0.012,-0.047,1.051
37,0.016,-0.035,1.027
38,0.027,-0.035,1.039
39,0.027,-0.031,1.031
40,0.027,-0.043,1.039
41,0.020,-0.035,1.027
42,0.023,-0.035,1.027
43,0.035,-0.035,1.043
44,0.020,-0.039,1.035
45,0.008,-0.035,1.023
46,0.008,-0.035,1.023
47,0.020,-0.039,1.043
48,0.020,-0.051,1.059
49,0.016,-0.047,1.062
50,0.023,-0.023,1.051
51,0.023,-0.012,1.035
52,0.016,-0.055,1.066
53,0.035,-0.039,1.016
54,0.035,-0.027,1.047
55,0.020,-0.035,1.043
56,0.023,-0.043,1.047
57,0.016,-0.047,1.047
58,0.020,-0.039,1.016
59,0.023,-0.035,1.047
60,0.031,-0.031,1.027
61,0.016,-0.047,1.035
62,0.012,-0.039,1.043
63,0.031,-0.023,1.027
64,0.043,-0.031,1.035
65,0.023,-0.043,1.035
66,0.012,-0.043,1.031
67,0.016,-0.039,1.039
68,0.031,-0.043,1.051
69,0.020,-0.043,1.047
70,0.012,-0.039,1.035
71,0.023,-0.031,1.039
72,0.035,-0.031,1.043
73,0.031,-0.027,1.090
74,0.004,-0.051,0.996
75,0.051,-0.047,1.004
76,0.035,-0.051,1.145
77,0.027,-0.055,0.984
78,0.020,-0.039,1.012
79,0.020,-0.027,1.035
80,0.027,-0.047,1.047
81,0.023,-0.043,1.047
82,0.016,-0.031,1.027
83,0.020,-0.035,1.035
84,0.031,-0.039,1.043
85,0.020,-0.043,1.023
86,0.016,-0.043,1.039
87,0.027,-0.043,1.031
88,0.027,-0.039,1.047
89,0.020,-0.043,1.035
90,0.020,-0.043,1.035
91,0.012,-0.043,1.043
92,0.023,-0.035,1.031
93,0.031,-0.043,1.047
94,0.027,-0.039,1.035
95,0.016,-0.035,1.027
96,0.027,-0.012,1.074
97,0.023,0.098,1.211
98,0.062,0.184,1.062
99,-0.039,0.039,1.035
100,-0.020,0.078,1.191
101,0.047,0.355,1.160
102,0.078,0.340,0.992
103,-0.016,0.227,1.062
104,-0.098,0.207,1.277
105,0.008,0.469,1.062
106,0.102,0.555,0.930
107,-0.023,0.383,0.859
108,-0.086,0.211,1.262
109,0.035,0.434,1.047
110,0.043,0.453,0.938
111,-0.105,0.441,0.969
112,-0.145,0.309,1.230
113,-0.059,0.270,1.059
114,-0.086,0.340,0.957
115,-0.105,0.473,1.031
116,-0.043,0.516,1.031
117,0.004,0.277,1.035
118,-0.125,0.262,1.105
119,-0.121,0.617,0.980
120,0.109,0.625,1.016
121,0.199,0.395,1.035
122,-0.004,0.422,1.145
123,-0.027,0.801,0.887
124,0.289,0.762,1.004
125,0.258,0.438,1.051
126,0.059,0.305,1.219
127,0.062,0.734,0.863
128,0.215,0.773,0.895
129,0.211,0.414,1.102
130,-0.016,0.289,1.273
131,-0.094,0.559,0.914
132,0.047,0.676,0.824
133,0.062,0.375,1.023
134,-0.090,0.246,1.344
135,-0.117,0.602,0.848
136,0.008,0.629,0.898
137,-0.098,0.344,1.031
138,-0.148,0.137,1.398
139,-0.145,0.523,0.926
140,-0.066,0.637,0.750
141,-0.180,0.289,0.887
142,-0.074,0.117,1.363
143,0.000,0.527,1.168
144,0.129,0.770,0.801
145,-0.008,0.371,0.922
146,-0.094,0.211,1.340
147,-0.113,0.734,0.965
148,0.199,0.820,0.676
149,0.078,0.422,1.059
150,0.055,0.297,1.434
151,-0.074,0.688,1.020
152,0.176,0.824,0.703
153,0.188,0.332,1.160
154,0.262,0.191,1.320
155,0.035,0.477,0.961
156,0.031,0.570,0.801
157,0.027,0.410,0.941
158,0.141,0.203,0.953
159,0.090,0.281,1.117
160,-0.102,0.523,0.750
161,-0.148,0.336,1.082
162,-0.148,0.336,1.082
163,0.027,0.309,1.344
164,0.262,0.578,1.184
165,0.016,0.586,0.707
166,-0.461,0.184,1.395
167,-0.234,0.371,1.367
168,-0.055,0.656,0.934
169,0.145,0.699,0.570
170,-0.227,0.508,1.336
171,-0.359,0.504,1.152
172,0.121,0.445,1.023
173,0.199,0.578,1.043
174,-0.008,0.652,0.969
175,-0.477,0.445,0.840
176,-0.039,0.461,0.754
177,0.320,0.508,1.160
178,0.320,0.695,1.039
179,-0.270,0.469,0.984
180,0.160,0.277,0.578
181,0.457,0.148,1.312
182,-0.082,0.477,1.195
183,-0.211,0.359,0.629
184,0.082,-0.184,0.969
185,0.484,-0.133,1.598
186,0.051,0.426,1.227
187,0.133,0.363,0.816
188,0.129,-0.180,1.035
189,0.312,-0.297,1.426
190,-0.367,0.266,0.852
191,-0.355,0.270,0.766
192,0.285,0.031,0.875
193,0.309,-0.043,1.180
194,-0.211,0.078,1.090
195,-0.473,0.238,1.133
196,0.137,0.352,1.133
197,0.125,0.105,1.309
198,-0.141,0.035,0.672
199,-0.543,-0.055,1.199
200,0.207,0.516,0.777
201,0.391,0.293,0.930
202,-0.168,-0.242,0.723
203,-0.598,-0.461,1.316
204,0.066,0.117,0.875
205,0.602,0.277,0.770
206,0.000,-0.199,0.707
207,-0.340,-0.578,1.629
208,0.090,-0.023,1.020
209,0.422,0.086,0.961
210,0.422,0.086,0.961
211,0.180,-0.168,0.973
212,-0.062,-0.469,1.613
213,0.109,-0.074,1.074
214,0.328,0.043,0.957
215,0.176,-0.059,0.879
216,-0.203,-0.324,1.453
217,0.102,0.020,1.094
218,0.125,0.145,0.480
219,0.098,-0.188,0.840
220,-0.145,-0.195,1.168
221,0.023,0.031,1.164
222,0.320,0.344,0.492
223,-0.145,0.125,0.949
224,-0.328,-0.074,1.066
225,-0.086,0.004,1.273
