Sample,X,Y,Z
0,0.023,0.230,1.062
1,0.020,-0.043,1.047
2,0.020,-0.027,1.043
3,0.023,-0.035,1.039
4,0.023,-0.043,1.039
5,0.020,-0.031,1.051
6,0.023,-0.043,1.039
7,0.020,-0.039,1.031
8,0.027,-0.039,1.031
9,0.020,-0.027,1.035
10,0.016,-0.035,1.047
11,0.031,-0.043,1.031
12,0.023,-0.023,1.035
13,0.020,-0.043,1.043
14,0.020,-0.035,1.035
15,0.027,-0.043,1.043
16,0.016,-0.047,1.051
17,0.020,-0.035,1.031
18,0.023,-0.043,1.039
19,0.020,-0.031,1.051
20,0.020,-0.035,1.051
21,0.016,-0.039,1.020
22,0.020,-0.039,1.039
23,0.023,-0.043,1.047
24,0.020,-0.039,1.082
25,0.027,-0.016,1.066
26,0.012,-0.066,1.012
27,0.051,-0.043,1.008
28,0.031,-0.020,1.129
29,0.039,-0.031,1.039
30,0.016,-0.035,1.008
31,0.016,-0.039,1.039
32,0.016,-0.039,1.043
33,0.031,-0.027,1.039
34,0.016,-0.043,1.043
35,0.012,-0.047,1.035
36,0.023,-0.035,1.051
37,0.027,-0.031,1.039
38,0.020,-0.039,1.035
39,0.023,-0.043,1.035
40,0.027,-0.031,1.031
41,0.016,-0.027,1.039
42,0.012,-0.035,1.047
43,0.016,-0.039,1.047
44,0.020,-0.043,1.035
45,0.027,-0.035,1.043
46,0.027,-0.039,1.039
47,0.016,-0.039,1.043
48,0.016,-0.051,1.012
49,0.023,-0.031,1.090
50,0.043,-0.039,1.066
51,-0.023,-0.039,1.020
52,0.039,-0.039,1.016
53,0.059,-0.023,1.059
54,0.020,-0.027,1.008
55,0.016,-0.035,1.047
56,0.016,-0.039,1.043
57,0.023,-0.043,1.031
58,0.031,-0.039,1.039
59,0.027,-0.039,1.043
60,0.020,-0.039,1.039
61,0.023,-0.039,1.039
62,0.023,-0.023,1.031
63,0.016,-0.031,1.055
64,0.020,-0.039,1.035
65,0.027,-0.031,1.035
66,0.020,-0.031,1.043
67,0.012,-0.031,1.031
68,0.023,-0.059,1.039
69,0.027,-0.035,1.027
70,0.023,-0.027,1.039
71,0.012,-0.039,1.043
72,0.023,-0.043,1.066
73,0.039,-0.016,1.109
74,0.035,-0.035,1.086
75,-0.016,-0.047,1.008
76,0.047,-0.035,1.109
77,0.055,-0.047,0.988
78,0.008,-0.035,1.047
79,0.012,-0.035,1.039
80,0.031,-0.039,1.020
81,0.027,-0.043,1.055
82,0.020,-0.031,1.035
83,0.016,-0.039,1.043
84,0.023,-0.039,1.035
85,0.020,-0.035,1.047
86,0.016,-0.035,1.043
87,0.020,-0.043,1.031
88,0.027,-0.035,1.020
89,0.020,-0.039,1.055
90,0.020,-0.039,1.055
91,0.016,-0.039,1.039
92,0.027,-0.043,1.043
93,0.027,-0.031,1.039
94,0.016,-0.039,1.047
95,0.016,-0.043,1.055
96,0.039,-0.039,1.027
97,0.043,-0.059,1.117
98,0.145,-0.094,1.215
99,0.062,-0.129,1.062
100,0.152,-0.082,0.992
101,0.328,-0.086,1.133
102,0.320,-0.180,1.074
103,0.227,-0.191,1.141
104,0.352,-0.070,1.129
105,0.477,-0.086,0.852
106,0.340,-0.289,1.152
107,0.199,-0.145,1.152
108,0.395,0.070,1.012
109,0.555,0.070,0.871
110,0.402,-0.156,1.164
111,0.355,-0.156,1.309
112,0.621,0.129,1.012
113,0.652,0.223,0.863
114,0.391,0.039,1.051
115,0.492,-0.008,1.188
116,0.805,0.191,0.934
117,0.668,0.266,0.746
118,0.668,0.266,0.746
119,0.309,0.176,0.867
120,0.523,0.074,1.086
121,0.883,0.141,0.953
122,0.551,0.227,0.906
123,0.191,0.152,1.031
124,0.465,-0.020,1.203
125,0.977,-0.035,1.219
126,0.742,0.031,1.098
127,0.121,0.035,0.941
128,0.316,-0.137,1.254
129,0.789,-0.270,1.273
130,0.641,-0.238,1.070
131,0.141,-0.066,0.840
132,0.246,-0.199,1.020
133,0.758,-0.383,1.223
134,0.695,-0.355,1.121
135,0.316,-0.035,0.781
136,0.359,-0.035,0.754
137,0.766,-0.301,1.188
138,0.738,-0.305,1.176
139,0.562,0.043,0.945
140,0.441,0.242,0.777
141,0.559,0.035,1.219
142,0.656,-0.043,1.184
143,0.672,0.160,0.906
144,0.562,0.359,0.809
145,0.648,0.191,1.234
146,0.598,0.078,1.129
147,0.500,0.117,0.961
148,0.574,0.262,1.004
149,0.762,0.305,1.152
150,0.555,0.086,1.004
151,0.344,0.043,0.867
152,0.582,0.066,1.113
153,0.672,0.160,1.047
154,0.449,0.078,0.859
155,0.312,-0.293,0.945
156,0.539,-0.281,1.148
157,0.641,-0.090,1.129
158,0.625,0.000,0.859
159,0.414,-0.289,0.863
160,0.434,-0.535,1.410
161,0.504,-0.219,1.211
162,0.539,0.164,0.516
163,0.461,-0.188,0.828
164,0.379,-0.414,1.492
165,0.668,-0.102,1.508
166,0.668,0.168,0.754
167,0.457,-0.035,0.805
168,0.293,-0.207,1.566
169,0.793,0.051,1.449
170,0.758,0.359,0.375
171,0.367,0.195,0.785
172,0.453,-0.023,1.414
173,0.852,0.008,1.297
174,0.672,0.379,0.363
175,0.172,0.207,0.688
176,0.457,0.027,1.141
177,0.848,0.191,1.023
178,0.512,0.254,0.598
179,0.105,0.129,0.609
180,0.461,-0.230,1.633
181,0.824,-0.035,1.309
182,0.488,0.074,0.551
183,0.074,-0.172,1.211
184,0.359,-0.223,1.633
185,0.621,-0.129,1.320
186,0.621,-0.129,1.320
187,0.316,0.023,0.484
188,0.043,-0.324,1.230
189,0.234,-0.297,1.559
190,0.383,-0.059,1.137
191,0.051,-0.062,0.477
192,0.062,-0.309,1.043
193,0.145,-0.188,1.266
194,0.262,0.066,0.758
195,-0.023,-0.031,0.559
196,0.008,-0.133,1.152
197,0.160,-0.047,1.234
198,0.117,0.062,0.824
199,0.148,0.020,0.887
200,0.102,-0.062,1.398
201,0.254,0.176,1.242
202,0.145,0.270,0.883
203,0.203,-0.020,1.371
204,0.203,-0.012,1.305
205,0.090,0.020,1.152
206,-0.023,0.258,0.637
207,0.273,0.152,0.805
208,0.180,-0.156,1.051
209,-0.020,-0.117,0.770
210,-0.066,-0.055,1.113
211,0.387,0.062,0.941
212,-0.078,0.039,0.637
213,-0.352,-0.195,1.082
214,-0.043,-0.188,1.312
215,0.418,-0.184,1.273
216,0.023,0.023,0.703
217,-0.234,-0.324,1.383
218,-0.047,-0.359,1.723
219,0.227,-0.117,0.930
220,0.059,-0.051,0.664
221,-0.512,-0.188,0.930
222,-0.289,-0.035,1.117
223,0.199,0.066,0.836
224,0.105,-0.043,0.754
225,-0.379,-0.031,0.992
226,-0.223,0.105,1.176
227,0.207,0.086,1.035
228,0.258,-0.090,1.008
229,-0.020,-0.012,1.375
230,0.074,0.293,0.910
231,0.348,0.125,0.926
232,0.277,-0.238,1.297
233,0.086,-0.020,1.152
234,0.109,0.281,0.816
235,0.098,0.266,0.637
236,-0.078,-0.301,1.164
237,-0.066,-0.152,1.176
238,0.117,0.195,0.754
239,0.184,0.105,0.566
240,-0.020,-0.504,1.344
241,-0.074,-0.367,1.512
242,0.293,0.117,1.059
243,0.156,0.000,0.738
244,-0.195,-0.434,1.156
245,-0.199,-0.344,1.395
246,0.141,0.102,0.848
247,0.008,0.219,0.492
248,-0.398,-0.277,1.094
249,-0.316,-0.387,1.418
250,0.109,0.109,1.121
251,0.184,0.371,0.656
252,-0.219,-0.141,0.965
253,-0.375,-0.270,1.473
254,0.012,0.320,1.145
255,0.461,0.520,0.566
256,-0.023,0.004,0.914
257,-0.336,-0.316,1.660
258,0.051,0.121,1.312
259,0.426,0.297,0.664
260,0.164,-0.082,0.859
261,-0.293,-0.309,1.254
262,0.086,-0.070,1.242
263,0.387,0.184,0.727
264,0.391,-0.027,0.781
265,-0.184,-0.258,0.949
266,-0.105,-0.254,0.973
267,0.328,-0.070,0.992
268,0.398,0.051,0.793
269,-0.109,-0.180,0.992
270,-0.160,-0.406,1.527
271,0.320,-0.148,1.285
272,0.359,0.047,0.863
273,-0.148,-0.156,0.906
274,-0.379,-0.262,1.516
275,0.004,0.074,1.199
276,0.172,0.230,0.586
277,-0.207,0.051,0.570
278,-0.453,-0.094,1.426
279,-0.141,0.109,1.285
280,0.020,0.266,0.570
281,-0.141,0.016,0.785
282,-0.359,-0.234,1.660
283,-0.164,0.141,1.340
284,0.344,0.223,0.785
285,0.215,-0.066,0.758
286,-0.066,-0.281,1.566
287,0.008,0.012,1.332
288,0.215,0.188,0.445
289,0.168,0.055,0.594
290,0.012,-0.336,1.363
291,0.062,-0.246,1.277
292,0.273,-0.070,0.758
293,0.207,0.051,0.387
294,0.238,-0.176,1.375
295,0.051,-0.203,1.512
296,0.184,0.023,0.711
297,0.488,-0.020,0.695
298,0.227,-0.129,1.254
299,-0.148,-0.109,1.496
300,-0.098,-0.102,1.109
301,0.160,-0.086,0.719
302,-0.113,0.039,1.000
303,-0.395,-0.020,1.125
