Sample,X,Y,Z
0,0.039,0.047,1.055
1,0.020,-0.039,1.039
2,0.023,-0.035,1.027
3,0.035,-0.031,1.043
4,0.023,-0.031,1.035
5,0.012,-0.039,1.051
6,0.020,-0.039,1.047
7,0.031,-0.035,1.039
8,0.016,-0.031,1.031
9,0.020,-0.051,1.043
10,0.031,-0.043,1.039
11,0.027,-0.047,1.035
12,0.027,-0.039,1.031
13,0.016,-0.031,1.035
14,0.027,-0.043,1.039
15,0.027,-0.035,1.035
16,0.027,-0.035,1.035
17,0.016,-0.027,1.027
18,0.016,-0.043,1.039
19,0.031,-0.047,1.035
20,0.027,-0.031,1.031
21,0.012,-0.051,1.035
22,0.020,-0.051,1.039
23,0.039,-0.035,1.039
24,0.016,-0.023,1.082
25,0.012,-0.043,1.090
26,0.016,-0.027,1.070
27,-0.004,-0.051,1.008
28,0.043,-0.043,1.055
29,0.043,-0.039,1.152
30,0.031,-0.051,1.008
31,0.027,-0.047,1.027
32,0.020,-0.031,1.043
33,0.020,-0.043,1.047
34,0.020,-0.047,1.027
35,0.027,-0.043,1.031
36,0.027,-0.031,1.043
37,0.023,-0.035,1.039
38,0.023,-0.047,1.039
39,0.023,-0.047,1.031
40,0.031,-0.027,1.039
41,0.023,-0.039,1.047
42,0.023,-0.039,1.047
43,0.012,-0.055,1.043
44,0.016,-0.043,1.027
45,0.035,-0.027,1.035
46,0.023,-0.035,1.043
47,0.012,-0.055,1.047
48,0.020,-0.043,1.016
49,0.031,-0.031,1.062
50,0.035,-0.012,1.125
51,0.000,-0.059,1.039
52,0.008,-0.051,1.027
53,0.062,-0.039,1.109
54,0.047,-0.035,1.004
55,-0.008,-0.055,1.043
56,0.004,-0.047,1.031
57,0.031,-0.031,1.035
58,0.031,-0.031,1.047
59,0.016,-0.051,1.047
60,0.020,-0.043,1.031
61,0.035,-0.035,1.027
62,0.035,-0.035,1.027
63,0.027,-0.035,1.035
64,0.020,-0.051,1.047
65,0.016,-0.051,1.031
66,0.031,-0.039,1.035
67,0.023,-0.031,1.047
68,0.016,-0.047,1.047
69,0.012,-0.043,1.023
70,0.031,-0.035,1.035
71,0.031,-0.027,1.039
72,0.020,-0.043,1.059
73,0.035,-0.039,1.027
74,0.027,-0.043,1.008
75,0.008,-0.035,1.066
76,0.043,-0.023,1.113
77,0.004,-0.070,0.988
78,0.020,-0.031,1.004
79,0.039,-0.027,1.039
80,0.023,-0.035,1.043
81,0.016,-0.047,1.043
82,0.020,-0.035,1.027
83,0.043,-0.023,1.039
84,0.027,-0.031,1.039
85,0.023,-0.055,1.047
86,0.023,-0.043,1.035
87,0.027,-0.023,1.043
88,0.027,-0.039,1.047
89,0.008,-0.043,1.043
90,0.008,-0.043,1.043
91,0.020,-0.039,1.027
92,0.027,-0.035,1.031
93,0.020,-0.035,1.035
94,0.016,-0.047,1.043
95,0.027,-0.043,1.035
96,0.023,-0.035,1.047
97,0.027,-0.039,1.086
98,0.051,0.020,1.105
99,0.004,0.082,1.039
100,0.000,0.070,0.949
101,-0.020,-0.008,1.090
102,-0.016,0.137,1.148
103,0.070,0.328,1.027
104,0.016,0.230,1.031
105,-0.117,0.105,1.051
106,-0.066,0.117,1.184
107,0.141,0.320,1.043
108,0.125,0.289,1.000
109,-0.125,0.137,1.043
110,-0.105,0.211,1.035
111,0.117,0.398,0.965
112,0.082,0.234,1.094
113,-0.164,0.059,1.086
114,-0.164,0.184,1.004
115,0.098,0.477,0.988
116,0.062,0.406,1.137
117,-0.219,0.074,1.137
118,-0.188,0.059,1.074
119,0.141,0.441,1.055
120,0.148,0.547,0.914
121,-0.098,0.129,1.090
122,-0.125,-0.012,1.059
123,0.129,0.371,1.102
124,0.234,0.652,1.020
125,0.027,0.352,0.895
126,-0.090,0.082,1.055
127,0.086,0.375,1.145
128,0.215,0.750,1.055
129,0.125,0.617,0.941
130,-0.016,0.270,1.082
131,0.043,0.418,1.137
132,0.184,0.762,1.027
133,0.168,0.719,0.844
134,0.020,0.289,1.051
135,-0.082,0.250,1.203
136,0.016,0.664,1.062
137,0.094,0.727,0.789
138,-0.043,0.262,0.984
139,-0.113,0.172,1.195
140,-0.031,0.590,0.992
141,-0.043,0.656,0.895
142,0.055,0.398,0.910
143,-0.062,0.242,1.305
144,-0.055,0.516,1.004
145,-0.148,0.570,1.023
146,-0.027,0.418,1.016
147,0.004,0.332,1.332
148,-0.180,0.512,1.133
149,-0.250,0.516,0.812
150,0.074,0.363,0.984
151,0.047,0.422,1.293
152,0.133,0.664,1.043
153,-0.074,0.539,0.770
154,-0.039,0.371,1.012
155,0.012,0.551,1.102
156,0.105,0.676,0.855
157,0.172,0.504,0.828
158,0.086,0.398,1.082
159,0.074,0.535,1.176
160,0.168,0.602,0.965
161,0.066,0.402,0.996
162,0.145,0.246,1.133
163,0.141,0.367,1.152
164,0.004,0.633,0.930
165,-0.039,0.453,0.996
166,0.090,0.297,1.195
167,0.098,0.352,1.008
168,-0.090,0.344,1.125
169,-0.219,0.418,1.066
170,-0.020,0.508,1.102
171,0.125,0.480,1.109
172,0.039,0.367,0.965
173,-0.441,0.418,1.242
174,-0.273,0.574,1.062
175,0.168,0.578,0.855
176,0.086,0.457,0.719
177,-0.230,0.320,0.973
178,-0.379,0.363,1.230
179,0.035,0.539,0.988
180,0.527,0.375,0.758
181,-0.051,0.141,1.285
182,-0.469,0.402,1.180
183,0.000,0.594,1.133
184,0.590,0.492,1.035
185,0.273,0.211,1.414
186,-0.523,0.484,1.219
187,-0.172,0.609,0.906
188,0.691,0.379,0.867
189,0.262,0.176,1.348
190,0.262,0.176,1.348
191,-0.492,0.355,0.727
192,-0.023,0.305,0.496
193,0.633,0.094,1.027
194,0.234,0.133,1.238
195,-0.305,0.129,0.617
196,0.059,-0.020,0.848
197,0.445,0.078,0.992
198,0.211,0.262,1.301
199,-0.453,0.223,1.184
200,-0.410,-0.062,1.297
201,0.418,-0.047,1.266
202,0.055,0.117,1.488
203,-0.449,0.324,1.273
204,-0.324,0.328,0.938
205,0.309,0.035,1.148
206,0.113,-0.039,1.328
207,-0.453,0.273,0.742
208,-0.277,0.234,0.434
209,0.422,-0.113,0.691
210,-0.090,-0.031,1.051
211,-0.363,0.320,0.637
212,-0.148,0.141,0.902
213,0.605,-0.031,0.805
214,0.230,-0.070,1.445
215,-0.406,0.301,1.031
216,0.090,0.293,1.125
217,0.586,-0.156,1.219
218,0.418,-0.281,1.574
219,-0.348,0.211,1.137
220,0.242,0.258,0.949
221,0.426,-0.332,0.871
222,0.004,-0.551,1.289
223,-0.352,-0.078,1.141
224,-0.039,0.262,0.641
225,0.492,-0.113,0.617
226,0.098,-0.562,1.484
227,-0.395,-0.102,0.996
228,-0.047,0.188,0.871
229,0.227,0.070,0.672
230,0.230,-0.133,0.973
231,-0.418,-0.121,1.355
232,-0.309,0.273,1.012
233,0.055,0.180,0.797
234,0.055,0.180,0.797
235,0.305,-0.160,1.145
236,-0.152,-0.172,1.332
237,-0.605,0.102,1.027
238,0.062,0.219,0.723
239,0.324,-0.168,1.297
240,0.027,-0.203,1.125
241,-0.238,-0.020,0.969
242,0.316,0.152,0.906
243,0.117,-0.156,1.145
244,-0.059,-0.195,1.449
245,-0.289,0.043,0.934
246,0.141,0.043,0.840
247,0.418,0.004,1.008
248,-0.035,-0.031,1.016
249,-0.137,-0.156,0.812
250,0.203,-0.285,1.203
251,0.324,-0.082,0.879
252,0.148,-0.105,1.152
253,-0.184,-0.070,0.859
254,0.230,-0.148,1.355
